report_id,report_type,site,activity,barrier_failure,iogp_life_saving_rule,description_raw,description_clean,model_text,risk_level,sif_potential
NM_0424,Near Miss,Storage depot,Electrical maintenance,Lift plan missing,Energy Isolation,"Near-miss observation: while performing Electrical maintenance at Storage depot, the team found that Lift plan missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","Near-miss observation: while performing Electrical maintenance at Storage depot, the team found that Lift plan missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","[REPORT_TYPE] Near Miss [SITE] Storage depot [ACTIVITY] Electrical maintenance [BARRIER_FAILURE] Lift plan missing [IOGP_RULE] Energy Isolation [TEXT] Near-miss observation: while performing Electrical maintenance at Storage depot, the team found that Lift plan missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",High,1
NM_0412,Near Miss,Process plant,Hot work (welding/grinding),Trip interlock was found bypassed during a production upset,Hot Work,"Near-miss observation: while performing Hot work (welding/grinding) at Process plant, the team found that Trip interlock was found bypassed during a production upset. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","Near-miss observation: while performing Hot work (welding/grinding) at Process plant, the team found that Trip interlock was found bypassed during a production upset. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","[REPORT_TYPE] Near Miss [SITE] Process plant [ACTIVITY] Hot work (welding/grinding) [BARRIER_FAILURE] Trip interlock was found bypassed during a production upset [IOGP_RULE] Hot Work [TEXT] Near-miss observation: while performing Hot work (welding/grinding) at Process plant, the team found that Trip interlock was found bypassed during a production upset. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",High,1
NM_0681,Near Miss,Field office area,Valve maintenance,Fall arrest missing,Working at Height,"During routine checks at Field office area, Fall arrest missing was observed during Valve maintenance. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.","During routine checks at Field office area, Fall arrest missing was observed during Valve maintenance. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Valve maintenance [BARRIER_FAILURE] Fall arrest missing [IOGP_RULE] Working at Height [TEXT] During routine checks at Field office area, Fall arrest missing was observed during Valve maintenance. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.",Critical,1
NM_0420,Near Miss,Tank farm,Lifting and rigging,Electrical supply and process pressure isolation were not independently verified,Safe Mechanical Lifting,"During routine checks at Tank farm, Electrical supply and process pressure isolation were not independently verified was observed during Lifting and rigging. The situation had credible potential for serious injury. Work was halted due to high-risk exposure and corrective measures were implemented.","During routine checks at Tank farm, Electrical supply and process pressure isolation were not independently verified was observed during Lifting and rigging. The situation had credible potential for serious injury. Work was halted due to high-risk exposure and corrective measures were implemented.","[REPORT_TYPE] Near Miss [SITE] Tank farm [ACTIVITY] Lifting and rigging [BARRIER_FAILURE] Electrical supply and process pressure isolation were not independently verified [IOGP_RULE] Safe Mechanical Lifting [TEXT] During routine checks at Tank farm, Electrical supply and process pressure isolation were not independently verified was observed during Lifting and rigging. The situation had credible potential for serious injury. Work was halted due to high-risk exposure and corrective measures were implemented.",High,1
NM_0731,Near Miss,Pump station,Scaffold modification,Simultaneous operations were not recorded in the permit briefing,Working at Height,"Near-miss observation: while performing Scaffold modification at Pump station, the team found that Simultaneous operations were not recorded in the permit briefing. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","Near-miss observation: while performing Scaffold modification at Pump station, the team found that Simultaneous operations were not recorded in the permit briefing. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","[REPORT_TYPE] Near Miss [SITE] Pump station [ACTIVITY] Scaffold modification [BARRIER_FAILURE] Simultaneous operations were not recorded in the permit briefing [IOGP_RULE] Working at Height [TEXT] Near-miss observation: while performing Scaffold modification at Pump station, the team found that Simultaneous operations were not recorded in the permit briefing. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",Critical,1
NM_0210,Near Miss,Maintenance yard,Compressor troubleshooting,Emergency access route was partly obstructed by temporary materials,None/Not Applicable,"Before/during Compressor troubleshooting at Maintenance yard, Emergency access route was partly obstructed by temporary materials. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.","Before/during Compressor troubleshooting at Maintenance yard, Emergency access route was partly obstructed by temporary materials. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.","[REPORT_TYPE] Near Miss [SITE] Maintenance yard [ACTIVITY] Compressor troubleshooting [BARRIER_FAILURE] Emergency access route was partly obstructed by temporary materials [IOGP_RULE] None/Not Applicable [TEXT] Before/during Compressor troubleshooting at Maintenance yard, Emergency access route was partly obstructed by temporary materials. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.",Medium,0
NM_0395,Near Miss,Refinery unit,Wellhead valve maintenance,Work scope had changed but the permit and job safety analysis were not revalidated,Hot Work,"A Work scope had changed but the permit and job safety analysis were not revalidated was identified during Wellhead valve maintenance at Refinery unit. The activity was delayed pending correction. No one was exposed, but the observation required a documented corrective action.","A Work scope had changed but the permit and job safety analysis were not revalidated was identified during Wellhead valve maintenance at Refinery unit. The activity was delayed pending correction. No one was exposed, but the observation required a documented corrective action.","[REPORT_TYPE] Near Miss [SITE] Refinery unit [ACTIVITY] Wellhead valve maintenance [BARRIER_FAILURE] Work scope had changed but the permit and job safety analysis were not revalidated [IOGP_RULE] Hot Work [TEXT] A Work scope had changed but the permit and job safety analysis were not revalidated was identified during Wellhead valve maintenance at Refinery unit. The activity was delayed pending correction. No one was exposed, but the observation required a documented corrective action.",Medium,0
NM_0518,Near Miss,Truck loading bay,Sampling and testing,"Lift plan, tag lines, and barricaded drop zone were not available",Safe Mechanical Lifting,"Near-miss observation: while performing Sampling and testing at Truck loading bay, the team found that Lift plan, tag lines, and barricaded drop zone were not available. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.","Near-miss observation: while performing Sampling and testing at Truck loading bay, the team found that Lift plan, tag lines, and barricaded drop zone were not available. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.","[REPORT_TYPE] Near Miss [SITE] Truck loading bay [ACTIVITY] Sampling and testing [BARRIER_FAILURE] Lift plan, tag lines, and barricaded drop zone were not available [IOGP_RULE] Safe Mechanical Lifting [TEXT] Near-miss observation: while performing Sampling and testing at Truck loading bay, the team found that Lift plan, tag lines, and barricaded drop zone were not available. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.",High,1
NM_0581,Near Miss,LPG bottling plant,Instrument calibration,Tool inspection missing,Confined Space,"Near-miss observation: while performing Instrument calibration at LPG bottling plant, the team found that Tool inspection missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","Near-miss observation: while performing Instrument calibration at LPG bottling plant, the team found that Tool inspection missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","[REPORT_TYPE] Near Miss [SITE] LPG bottling plant [ACTIVITY] Instrument calibration [BARRIER_FAILURE] Tool inspection missing [IOGP_RULE] Confined Space [TEXT] Near-miss observation: while performing Instrument calibration at LPG bottling plant, the team found that Tool inspection missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",High,1
NM_0566,Near Miss,Gas processing unit,Pump seal replacement,Simultaneous operations were not recorded in the permit briefing,None/Not Applicable,"Shift crew reported that during Pump seal replacement in Gas processing unit, Simultaneous operations were not recorded in the permit briefing. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.","Shift crew reported that during Pump seal replacement in Gas processing unit, Simultaneous operations were not recorded in the permit briefing. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.","[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Pump seal replacement [BARRIER_FAILURE] Simultaneous operations were not recorded in the permit briefing [IOGP_RULE] None/Not Applicable [TEXT] Shift crew reported that during Pump seal replacement in Gas processing unit, Simultaneous operations were not recorded in the permit briefing. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.",High,1
NM_0102,Near Miss,Pump station,Excavation work,Lift plan missing,Safe Mechanical Lifting,"Shift crew reported that during Excavation work in Pump station, Lift plan missing. No work stoppage was required. No work stoppage was required as the risk was minimal.","Shift crew reported that during Excavation work in Pump station, Lift plan missing. No work stoppage was required. No work stoppage was required as the risk was minimal.","[REPORT_TYPE] Near Miss [SITE] Pump station [ACTIVITY] Excavation work [BARRIER_FAILURE] Lift plan missing [IOGP_RULE] Safe Mechanical Lifting [TEXT] Shift crew reported that during Excavation work in Pump station, Lift plan missing. No work stoppage was required. No work stoppage was required as the risk was minimal.",Low,0
NM_0631,Near Miss,Field office area,Scaffolding work,Emergency access route was partly obstructed by temporary materials,Working at Height,"During routine checks at Field office area, Emergency access route was partly obstructed by temporary materials was observed during Scaffolding work. Work was stopped urgently and emergency response was initiated. The situation had imminent potential for fatality and was escalated immediately.","During routine checks at Field office area, Emergency access route was partly obstructed by temporary materials was observed during Scaffolding work. Work was stopped urgently and emergency response was initiated. The situation had imminent potential for fatality and was escalated immediately.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Scaffolding work [BARRIER_FAILURE] Emergency access route was partly obstructed by temporary materials [IOGP_RULE] Working at Height [TEXT] During routine checks at Field office area, Emergency access route was partly obstructed by temporary materials was observed during Scaffolding work. Work was stopped urgently and emergency response was initiated. The situation had imminent potential for fatality and was escalated immediately.",Critical,1
NM_0408,Near Miss,Truck loading bay,Scaffold modification,Lockout-tagout missing,Energy Isolation,"Before/during Scaffold modification at Truck loading bay, Lockout-tagout missing. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","Before/during Scaffold modification at Truck loading bay, Lockout-tagout missing. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","[REPORT_TYPE] Near Miss [SITE] Truck loading bay [ACTIVITY] Scaffold modification [BARRIER_FAILURE] Lockout-tagout missing [IOGP_RULE] Energy Isolation [TEXT] Before/during Scaffold modification at Truck loading bay, Lockout-tagout missing. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",High,1
NM_0492,Near Miss,Pipeline ROW,Housekeeping inspection,Guard missing,None/Not Applicable,Inspection revealed Guard missing during Housekeeping inspection at Pipeline ROW. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.,Inspection revealed Guard missing during Housekeeping inspection at Pipeline ROW. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.,[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Housekeeping inspection [BARRIER_FAILURE] Guard missing [IOGP_RULE] None/Not Applicable [TEXT] Inspection revealed Guard missing during Housekeeping inspection at Pipeline ROW. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.,High,1
NM_0070,Near Miss,LPG bottling plant,Hot work (welding/grinding),"Lift plan, tag lines, and barricaded drop zone were not available",Hot Work,"Shift crew reported that during Hot work (welding/grinding) in LPG bottling plant, Lift plan, tag lines, and barricaded drop zone were not available. Corrective action was taken on the spot. The observation was logged and addressed during the same shift.","Shift crew reported that during Hot work (welding/grinding) in LPG bottling plant, Lift plan, tag lines, and barricaded drop zone were not available. Corrective action was taken on the spot. The observation was logged and addressed during the same shift.","[REPORT_TYPE] Near Miss [SITE] LPG bottling plant [ACTIVITY] Hot work (welding/grinding) [BARRIER_FAILURE] Lift plan, tag lines, and barricaded drop zone were not available [IOGP_RULE] Hot Work [TEXT] Shift crew reported that during Hot work (welding/grinding) in LPG bottling plant, Lift plan, tag lines, and barricaded drop zone were not available. Corrective action was taken on the spot. The observation was logged and addressed during the same shift.",Low,0
NM_0203,Near Miss,Field office area,Emergency valve servicing,Exclusion zone missing,Line of Fire,"During routine checks at Field office area, Exclusion zone missing was observed during Emergency valve servicing. The supervisor reviewed and approved continuation after correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","During routine checks at Field office area, Exclusion zone missing was observed during Emergency valve servicing. The supervisor reviewed and approved continuation after correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Emergency valve servicing [BARRIER_FAILURE] Exclusion zone missing [IOGP_RULE] Line of Fire [TEXT] During routine checks at Field office area, Exclusion zone missing was observed during Emergency valve servicing. The supervisor reviewed and approved continuation after correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.",Medium,0
NM_0471,Near Miss,Wellsite,Pump seal replacement,Atmosphere not tested,Confined Space,"During Pump seal replacement at Wellsite, Atmosphere not tested. The situation had credible potential for serious injury. A supervisor issued a stop-work intervention and required a formal control verification.","During Pump seal replacement at Wellsite, Atmosphere not tested. The situation had credible potential for serious injury. A supervisor issued a stop-work intervention and required a formal control verification.","[REPORT_TYPE] Near Miss [SITE] Wellsite [ACTIVITY] Pump seal replacement [BARRIER_FAILURE] Atmosphere not tested [IOGP_RULE] Confined Space [TEXT] During Pump seal replacement at Wellsite, Atmosphere not tested. The situation had credible potential for serious injury. A supervisor issued a stop-work intervention and required a formal control verification.",High,1
NM_0172,Near Miss,Storage depot,Pipe spool welding,Trip interlock was found bypassed during a production upset,Hot Work,A Trip interlock was found bypassed during a production upset was identified during Pipe spool welding at Storage depot. Work was paused briefly and the issue was resolved. The issue was minor and was rectified before it affected the task.,A Trip interlock was found bypassed during a production upset was identified during Pipe spool welding at Storage depot. Work was paused briefly and the issue was resolved. The issue was minor and was rectified before it affected the task.,[REPORT_TYPE] Near Miss [SITE] Storage depot [ACTIVITY] Pipe spool welding [BARRIER_FAILURE] Trip interlock was found bypassed during a production upset [IOGP_RULE] Hot Work [TEXT] A Trip interlock was found bypassed during a production upset was identified during Pipe spool welding at Storage depot. Work was paused briefly and the issue was resolved. The issue was minor and was rectified before it affected the task.,Low,0
NM_0249,Near Miss,LPG bottling plant,Scaffolding work,Simultaneous operations were not recorded in the permit briefing,Working at Height,"Shift crew reported that during Scaffolding work in LPG bottling plant, Simultaneous operations were not recorded in the permit briefing. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.","Shift crew reported that during Scaffolding work in LPG bottling plant, Simultaneous operations were not recorded in the permit briefing. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.","[REPORT_TYPE] Near Miss [SITE] LPG bottling plant [ACTIVITY] Scaffolding work [BARRIER_FAILURE] Simultaneous operations were not recorded in the permit briefing [IOGP_RULE] Working at Height [TEXT] Shift crew reported that during Scaffolding work in LPG bottling plant, Simultaneous operations were not recorded in the permit briefing. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.",Medium,0
NM_0578,Near Miss,Storage tank,Internal tank inspection,Spill containment missing,Confined Space,Inspection revealed Spill containment missing during Internal tank inspection at Storage tank. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,Inspection revealed Spill containment missing during Internal tank inspection at Storage tank. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,[REPORT_TYPE] Near Miss [SITE] Storage tank [ACTIVITY] Internal tank inspection [BARRIER_FAILURE] Spill containment missing [IOGP_RULE] Confined Space [TEXT] Inspection revealed Spill containment missing during Internal tank inspection at Storage tank. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,High,1
NM_0485,Near Miss,Offshore platform,Drilling operations,Emergency response delayed,Working at Height,"Before/during Drilling operations at Offshore platform, Emergency response delayed. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","Before/during Drilling operations at Offshore platform, Emergency response delayed. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","[REPORT_TYPE] Near Miss [SITE] Offshore platform [ACTIVITY] Drilling operations [BARRIER_FAILURE] Emergency response delayed [IOGP_RULE] Working at Height [TEXT] Before/during Drilling operations at Offshore platform, Emergency response delayed. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",High,1
NM_0520,Near Miss,Drilling rig,Sampling and testing,Drain cover was open and combustible vapour testing was not documented,Hot Work,Inspection revealed Drain cover was open and combustible vapour testing was not documented during Sampling and testing at Drilling rig. Work was stopped due to potential serious injury risk. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,Inspection revealed Drain cover was open and combustible vapour testing was not documented during Sampling and testing at Drilling rig. Work was stopped due to potential serious injury risk. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,[REPORT_TYPE] Near Miss [SITE] Drilling rig [ACTIVITY] Sampling and testing [BARRIER_FAILURE] Drain cover was open and combustible vapour testing was not documented [IOGP_RULE] Hot Work [TEXT] Inspection revealed Drain cover was open and combustible vapour testing was not documented during Sampling and testing at Drilling rig. Work was stopped due to potential serious injury risk. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,High,1
NM_0563,Near Miss,Drilling rig,Hot work (welding/grinding),Line was not depressurised and workers were positioned in the potential release path,Hot Work,A Line was not depressurised and workers were positioned in the potential release path was identified during Hot work (welding/grinding) at Drilling rig. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,A Line was not depressurised and workers were positioned in the potential release path was identified during Hot work (welding/grinding) at Drilling rig. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,[REPORT_TYPE] Near Miss [SITE] Drilling rig [ACTIVITY] Hot work (welding/grinding) [BARRIER_FAILURE] Line was not depressurised and workers were positioned in the potential release path [IOGP_RULE] Hot Work [TEXT] A Line was not depressurised and workers were positioned in the potential release path was identified during Hot work (welding/grinding) at Drilling rig. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,High,1
NM_0100,Near Miss,Offshore platform,Night driving to remote site,Drain cover was open and combustible vapour testing was not documented,Hot Work,"During Night driving to remote site at Offshore platform, Drain cover was open and combustible vapour testing was not documented. Corrective action was taken on the spot. The team recorded the observation and completed immediate housekeeping correction.","During Night driving to remote site at Offshore platform, Drain cover was open and combustible vapour testing was not documented. Corrective action was taken on the spot. The team recorded the observation and completed immediate housekeeping correction.","[REPORT_TYPE] Near Miss [SITE] Offshore platform [ACTIVITY] Night driving to remote site [BARRIER_FAILURE] Drain cover was open and combustible vapour testing was not documented [IOGP_RULE] Hot Work [TEXT] During Night driving to remote site at Offshore platform, Drain cover was open and combustible vapour testing was not documented. Corrective action was taken on the spot. The team recorded the observation and completed immediate housekeeping correction.",Low,0
NM_0430,Near Miss,Gas processing unit,Scaffold modification,Gas testing was overdue and no dedicated fire watch was assigned,Confined Space,"During routine checks at Gas processing unit, Gas testing was overdue and no dedicated fire watch was assigned was observed during Scaffold modification. The activity was stopped as it could have resulted in serious harm. Work was halted due to high-risk exposure and corrective measures were implemented.","During routine checks at Gas processing unit, Gas testing was overdue and no dedicated fire watch was assigned was observed during Scaffold modification. The activity was stopped as it could have resulted in serious harm. Work was halted due to high-risk exposure and corrective measures were implemented.","[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Scaffold modification [BARRIER_FAILURE] Gas testing was overdue and no dedicated fire watch was assigned [IOGP_RULE] Confined Space [TEXT] During routine checks at Gas processing unit, Gas testing was overdue and no dedicated fire watch was assigned was observed during Scaffold modification. The activity was stopped as it could have resulted in serious harm. Work was halted due to high-risk exposure and corrective measures were implemented.",High,1
