report_text,sif_binary,label_source,category,risk_level,sif_label,facility,department,label,python predict_v3.py
Incident observation 969: Worked in a hot process area during routine maintenance created a heat stress. Scheduled water breaks were missed. The reported outcome was dizziness requiring first-aid monitoring. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
,0,,,,,,,,Mechanical
,0,,,,,,,,Electrical Maintenance
Incident observation 1054: Walked near a manual cart during a scheduled inspection created a near miss from moving cart. The cart was pushed before the path was clear. The reported outcome was no contact and no injury. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
Incident observation 1219: Used a non-hazardous cleaning solution during planned shutdown work created a minor skin irritation. Gloves were not worn for a short task. The reported outcome was temporary skin irritation resolved after washing. The pre-job checklist was incomplete.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
Electric shock from faulty equipment. Worker reported defective tool but continued using. Tool had exposed wiring. Shock knocked worker unconscious. Co-worker performed CPR until ambulance arrived. Survived with burns.,0,,Unsafe Act,Medium,Non-SIF,Maintenance Shop,Electrical Maintenance,1.0,
"A worker used a portable ladder for a short task during a night shift, despite the fact that the ladder was not secured. The exposure involved ladder fall, resulting in an ankle fracture. The worker received a verbal reminder but continued.",0,,Unsafe Act,Medium,Non-SIF,Construction Zone,Projects,1.0,
Incident observation 454: Adjusted a guarded machine component during a scheduled inspection created a pinch-point injury. Hands were placed close to a moving pinch point. The reported outcome was a bruised and fractured finger. The worker received a verbal reminder but continued.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
"During a scheduled inspection, a worker experienced pinch-point injury after they adjusted a guarded machine component. Hands were placed close to a moving pinch point. Outcome: a bruised and fractured finger. The supervisor was not informed before the task started.",0,original_trusted,,,,,,,
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Projects
Incident observation 1369: Used a vibrating hand tool during routine maintenance created a minor hand discomfort. The task continued longer than planned. The reported outcome was temporary tingling that resolved after stopping work. The worker received a verbal reminder but continued.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
"While during material movement, a worker drove a site vehicle through an intersection. The unsafe act was that the driver was distracted by a phone. This led to vehicle collision; outcome was a minor collision with a pedestrian injury. The supervisor was not informed before the task started.",0,,Unsafe Act,Medium,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Logistics
Incident observation 129: Sorted small parts during routine maintenance created a minor cut. A paper edge was handled carelessly. The reported outcome was a superficial finger cut cleaned and bandaged on site. The worker received a verbal reminder but continued.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Electrical Maintenance
Incident observation 219: Handled a warm pipe fitting during planned shutdown work created a burn contact. Heat-resistant gloves were not used. The reported outcome was a burn requiring medical dressing. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
Incident observation 939: Handled water-based coolant during planned shutdown work created a small spill exposure. A container cap was loosely fitted. The reported outcome was a small splash rinsed off with no injury. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
Incident observation 494: Walked near a manual cart during a scheduled inspection created a near miss from moving cart. The cart was pushed before the path was clear. The reported outcome was no contact and no injury. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
"While during planned shutdown work, a worker used a non-hazardous cleaning solution. The unsafe act was that gloves were not worn for a short task. This led to minor skin irritation; outcome was temporary skin irritation resolved after washing. The supervisor was not informed before the task started.",0,original_trusted,,,,,,,
Incident observation 599: Walked beside a storage rack while preparing equipment for service created a near miss from dropped item. A light item was not placed securely. The reported outcome was no contact or injury. A safer method was available nearby.,0,original_trusted,,,,,,,
,0,,,,,,,,Projects
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Projects
Incident observation 699: Handled a warm pipe fitting during planned shutdown work created a burn contact. Heat-resistant gloves were not used. The reported outcome was a burn requiring medical dressing. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
,0,,,,,,,,Operations
,0,,,,,,,,Projects
,0,,,,,,,,Mechanical
,0,,,,,,,,Logistics
,0,,,,,,,,Electrical Maintenance
Incident observation 1364: Walked through a storage aisle while completing an urgent task created a minor trip. A small cable was left near the route. The reported outcome was a slight ankle twist with no lost work time. The supervisor was not informed before the task started.,0,original_trusted,,,,,,,
,0,,,,,,,,Mechanical
Incident observation 1584: Used a hand grinder during material movement created a grinding injury. The workpiece was poorly clamped. The reported outcome was a cut to the forearm requiring stitches. The pre-job checklist was incomplete.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
,0,,,,,,,,Logistics
,0,,,,,,,,Electrical Maintenance
Incident observation 289: Walked through a work area during routine maintenance created a slip and fall. An oil spill was not reported or cleaned. The reported outcome was a wrist fracture requiring medical treatment. The worker received a verbal reminder but continued.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Projects
Incident observation 819: Used a non-hazardous cleaning solution during planned shutdown work created a minor skin irritation. Gloves were not worn for a short task. The reported outcome was temporary skin irritation resolved after washing. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
Incident observation 764: Handled wooden packaging while completing an urgent task created a minor splinter. Gloves were not worn. The reported outcome was a splinter removed on site without further treatment. The supervisor was not informed before the task started.,0,original_trusted,,,,,,,
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
Incident observation 1099: Handled water-based coolant during planned shutdown work created a small spill exposure. A container cap was loosely fitted. The reported outcome was a small splash rinsed off with no injury. The pre-job checklist was incomplete.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Projects
,0,,,,,,,,Projects
,0,,,,,,,,Operations
Incident observation 269: Reached near a stopped conveyor during normal production created a conveyor contact. The conveyor was restarted before clearance was confirmed. The reported outcome was a bruised hand requiring treatment. The hazard was visible before work began.,0,original_trusted,,,,,,,
Incident observation 1234: Walked past stored materials during a night shift created a minor bruise. Clearance around a rack was limited. The reported outcome was a small bruise with no medical treatment required. A safer method was available nearby.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
Incident observation 1139: Handled sheet metal during planned shutdown work created a hand laceration. Cut-resistant gloves were not worn. The reported outcome was a deep cut requiring stitches. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
"During routine maintenance, a worker experienced slip and fall after they walked through a work area. An oil spill was not reported or cleaned. Outcome: a wrist fracture requiring medical treatment. The supervisor was not informed before the task started.",0,,Unsafe Act,Medium,Non-SIF,Warehouse,Logistics,1.0,
,0,,,,,,,,Projects
"A worker reached for light materials while preparing equipment for service, despite the fact that the task was performed with an awkward posture. The exposure involved minor muscle discomfort, resulting in brief shoulder discomfort that resolved after stretching. The worker received a verbal reminder but continued.",0,original_trusted,,,,,,,
Incident observation 254: Moved materials through a walkway during a scheduled inspection created a trip hazard. A hose was left across the route. The reported outcome was a knee sprain requiring treatment. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
,0,,,,,,,,Electrical Maintenance
Incident observation 889: Worked in a hot process area during routine maintenance created a heat stress. Scheduled water breaks were missed. The reported outcome was dizziness requiring first-aid monitoring. The worker received a verbal reminder but continued.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Logistics
Incident observation 399: Stood near a stack of materials while preparing equipment for service created a object strike. The stack was not secured. The reported outcome was a shoulder contusion requiring medical review. A safer method was available nearby.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Logistics
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Logistics
Incident observation 654: Moved materials through a walkway during a scheduled inspection created a trip hazard. A hose was left across the route. The reported outcome was a knee sprain requiring treatment. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Electrical Maintenance
Incident observation 739: Used a non-hazardous cleaning solution during planned shutdown work created a minor skin irritation. Gloves were not worn for a short task. The reported outcome was temporary skin irritation resolved after washing. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
Incident observation 449: Sorted small parts during routine maintenance created a minor cut. A paper edge was handled carelessly. The reported outcome was a superficial finger cut cleaned and bandaged on site. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
,0,,,,,,,,Projects
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Mechanical
Incident observation 339: Used a non-hazardous cleaning solution during planned shutdown work created a minor skin irritation. Gloves were not worn for a short task. The reported outcome was temporary skin irritation resolved after washing. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
,0,,,,,,,,Electrical Maintenance
Incident observation 174: Moved materials through a walkway during a scheduled inspection created a trip hazard. A hose was left across the route. The reported outcome was a knee sprain requiring treatment. The worker received a verbal reminder but continued.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Operations
Incident observation 909: Worked an extended administrative shift during normal production created a minor headache. A break was postponed. The reported outcome was a mild headache resolved after rest. The hazard was visible before work began.,0,original_trusted,,,,,,,
Incident observation 1129: Worked in a hot process area during routine maintenance created a heat stress. Scheduled water breaks were missed. The reported outcome was dizziness requiring first-aid monitoring. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
,0,,,,,,,,Mechanical
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
,0,,,,,,,,Mechanical
Incident observation 1189: Transferred cleaning chemical during normal production created a minor chemical splash. The transfer nozzle was aimed incorrectly. The reported outcome was eye irritation treated at the eyewash station. The hazard was visible before work began.,0,original_trusted,,,,,,,
,0,,,,,,,,Operations
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
Incident observation 1424: Used a hand grinder during material movement created a grinding injury. The workpiece was poorly clamped. The reported outcome was a cut to the forearm requiring stitches. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
,0,,,,,,,,Electrical Maintenance
Incident observation 1249: Walked through a work area during routine maintenance created a slip and fall. An oil spill was not reported or cleaned. The reported outcome was a wrist fracture requiring medical treatment. The worker received a verbal reminder but continued.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Operations Mechanical
,0,,,,,,,,Operations
Incident observation 789: Cleaned a bench with compressed air at low pressure during normal production created a minor eye irritation. Safety glasses were not worn. The reported outcome was temporary dust irritation resolved after flushing. The hazard was visible before work began.,0,original_trusted,,,,,,,
,0,,,,,,,,Projects
Incident observation 14: Moved materials through a walkway during a scheduled inspection created a trip hazard. A hose was left across the route. The reported outcome was a knee sprain requiring treatment. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
Incident observation 564: Lifted a heavy container alone while completing an urgent task created a material-handling strain. A trolley was available but not used. The reported outcome was a back strain requiring clinic care. The supervisor was not informed before the task started.,0,original_trusted,,,,,,,
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Operations
,0,,,,,,,,Projects
,0,,,,,,,,Mechanical
,0,,,,,,,,Mechanical
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
,0,,,,,,,,Projects
Incident observation 399: Reached for light materials while preparing equipment for service created a minor muscle discomfort. The task was performed with an awkward posture. The reported outcome was brief shoulder discomfort that resolved after stretching. A safer method was available nearby.,0,original_trusted,,,,,,,
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
Incident observation 394: Passed through a low-clearance area during a night shift created a minor bump. Warning markings were overlooked. The reported outcome was mild soreness with no treatment required. A safer method was available nearby.,0,original_trusted,,,,,,,
,0,,,,,,,,Logistics
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
Incident observation 54: Worked briefly in a warm location during a scheduled inspection created a minor heat discomfort. A rest break was delayed. The reported outcome was mild discomfort resolved after water and rest. The worker received a verbal reminder but continued.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Projects
,0,,,,,,,,Logistics
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Logistics
,0,,,,,,,,Projects
,0,,,,,,,,Operations
,0,,,,,,,,Projects
Incident observation 1199: Stood near a stack of materials while preparing equipment for service created a object strike. The stack was not secured. The reported outcome was a shoulder contusion requiring medical review. A safer method was available nearby.,0,original_trusted,,,,,,,
,0,,,,,,,,Projects
"A worker handled sheet metal during planned shutdown work, despite the fact that cut-resistant gloves were not worn. The exposure involved hand laceration, resulting in a deep cut requiring stitches. A safer method was available nearby.",0,original_trusted,,,,,,,
"Unsafe work report: a worker handled sheet metal during planned shutdown work. Cut-resistant gloves were not worn, creating a hand laceration event. Result: a deep cut requiring stitches. The hazard was visible before work began.",0,,Unsafe Act,Medium,Non-SIF,Maintenance Area,Mechanical,1.0,
Incident observation 464: Used a hand grinder during material movement created a grinding injury. The workpiece was poorly clamped. The reported outcome was a cut to the forearm requiring stitches. The pre-job checklist was incomplete.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
Incident observation 309: Transferred cleaning chemical during normal production created a minor chemical splash. The transfer nozzle was aimed incorrectly. The reported outcome was eye irritation treated at the eyewash station. The hazard was visible before work began.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Mechanical
Incident observation 89: Worked in a hot process area during routine maintenance created a heat stress. Scheduled water breaks were missed. The reported outcome was dizziness requiring first-aid monitoring. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
,0,,,,,,,,Operations
,0,,,,,,,,Mechanical
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Mechanical
Incident observation 1069: Worked an extended administrative shift during normal production created a minor headache. A break was postponed. The reported outcome was a mild headache resolved after rest. The hazard was visible before work began.,0,original_trusted,,,,,,,
,0,,,,,,,,Logistics
,0,,,,,,,,Mechanical
Incident observation 819: Used a non-hazardous cleaning solution during planned shutdown work created a minor skin irritation. Gloves were not worn for a short task. The reported outcome was temporary skin irritation resolved after washing. The pre-job checklist was incomplete.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Operations
,0,,,,,,,,Electrical Maintenance
Incident observation 819: Handled sheet metal during planned shutdown work created a hand laceration. Cut-resistant gloves were not worn. The reported outcome was a deep cut requiring stitches. The pre-job checklist was incomplete.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
Incident observation 1204: Lifted a heavy container alone while completing an urgent task created a material-handling strain. A trolley was available but not used. The reported outcome was a back strain requiring clinic care. The supervisor was not informed before the task started.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Operations
,0,,,,,,,,Logistics
,0,,,,,,,,Electrical Maintenance
Incident observation 789: Transferred cleaning chemical during normal production created a minor chemical splash. The transfer nozzle was aimed incorrectly. The reported outcome was eye irritation treated at the eyewash station. The hazard was visible before work began.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
Incident observation 484: Walked through a storage aisle while completing an urgent task created a minor trip. A small cable was left near the route. The reported outcome was a slight ankle twist with no lost work time. The supervisor was not informed before the task started.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
"During material movement, a worker experienced grinding injury after they used a hand grinder. The workpiece was poorly clamped. Outcome: a cut to the forearm requiring stitches. The worker received a verbal reminder but continued.",0,original_trusted,,,,,,,
,0,,,,,,,,Operations
Incident observation 1359: Reached for light materials while preparing equipment for service created a minor muscle discomfort. The task was performed with an awkward posture. The reported outcome was brief shoulder discomfort that resolved after stretching. A safer method was available nearby.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Logistics
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
"While during planned shutdown work, a worker handled water-based coolant. The unsafe act was that a container cap was loosely fitted. This led to small spill exposure; outcome was a small splash rinsed off with no injury. The supervisor was not informed before the task started.",0,original_trusted,,,,,,,
,0,,,,,,,,Operations
,0,,,,,,,,Operations
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Operations
,0,,,,,,,,Projects
,0,,,,,,,,Mechanical
,0,,,,,,,,Logistics
,0,,,,,,,,Logistics
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
,0,,,,,,,,Projects
,0,,,,,,,,Mechanical
,0,,,,,,,,Electrical Maintenance
"Unsafe work report: a worker swept a dry work area during material movement. A dust mask was not used for a short task, creating a minor dust exposure event. Result: temporary throat irritation that resolved after water. The hazard was visible before work began.",0,original_trusted,,,,,,,
,0,,,,,,,,Projects
Incident observation 694: Adjusted a guarded machine component during a scheduled inspection created a pinch-point injury. Hands were placed close to a moving pinch point. The reported outcome was a bruised and fractured finger. The worker received a verbal reminder but continued.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Operations
,0,,,,,,,,Logistics
,0,,,,,,,,Mechanical
,0,,,,,,,,Logistics
,0,,,,,,,,Logistics
Incident observation 689: Walked through a work area during routine maintenance created a slip and fall. An oil spill was not reported or cleaned. The reported outcome was a wrist fracture requiring medical treatment. The worker received a verbal reminder but continued.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Logistics
,0,,,,,,,,Mechanical
,0,,,,,,,,Operations
Incident observation 804: Lifted a heavy container alone while completing an urgent task created a material-handling strain. A trolley was available but not used. The reported outcome was a back strain requiring clinic care. The supervisor was not informed before the task started.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Mechanical
,0,,,,,,,,Projects
,0,,,,,,,,Logistics
Incident observation 439: Walked beside a storage rack while preparing equipment for service created a near miss from dropped item. A light item was not placed securely. The reported outcome was no contact or injury. A safer method was available nearby.,0,original_trusted,,,,,,,
"Unsafe work report: a worker used a vibrating hand tool during routine maintenance. The task continued longer than planned, creating a minor hand discomfort event. Result: temporary tingling that resolved after stopping work. The pre-job checklist was incomplete.",0,original_trusted,,,,,,,
Incident observation 329: Worked in a hot process area during routine maintenance created a heat stress. Scheduled water breaks were missed. The reported outcome was dizziness requiring first-aid monitoring. The worker received a verbal reminder but continued.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Projects
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
Incident observation 104: Moved a carton during material movement created a minor abrasion. A rough edge was not covered. The reported outcome was a small forearm abrasion cleaned on site. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
,0,,,,,,,,Electrical Maintenance
Incident observation 1494: Worked briefly in a warm location during a scheduled inspection created a minor heat discomfort. A rest break was delayed. The reported outcome was mild discomfort resolved after water and rest. The worker received a verbal reminder but continued.,0,original_trusted,,,,,,,
Incident observation 1439: Stood near a stack of materials while preparing equipment for service created a object strike. The stack was not secured. The reported outcome was a shoulder contusion requiring medical review. A safer method was available nearby.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
Incident observation 1544: Moved a carton during material movement created a minor abrasion. A rough edge was not covered. The reported outcome was a small forearm abrasion cleaned on site. The pre-job checklist was incomplete.,0,original_trusted,,,,,,,
,0,,,,,,,,Electrical Maintenance
,0,,,,,,,,Operations
Incident observation 1404: Handled wooden packaging while completing an urgent task created a minor splinter. Gloves were not worn. The reported outcome was a splinter removed on site without further treatment. The supervisor was not informed before the task started.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Logistics
,0,,,,,,,,Electrical Maintenance
Incident observation 29: Worked an extended administrative shift during normal production created a minor headache. A break was postponed. The reported outcome was a mild headache resolved after rest. The hazard was visible before work began.,0,original_trusted,,,,,,,
,0,,,,,,,,Operations
,0,,,,,,,,Projects
,0,,,,,,,,Logistics
,0,,,,,,,,Logistics
Incident observation 264: Drove a site vehicle through an intersection during material movement created a vehicle collision. The driver was distracted by a phone. The reported outcome was a minor collision with a pedestrian injury. The pre-job checklist was incomplete.,0,,Unsafe Act,Medium,Non-SIF,Loading Bay,Logistics,1.0,
,0,,,,,,,,Projects
Incident observation 1299: Used a non-hazardous cleaning solution during planned shutdown work created a minor skin irritation. Gloves were not worn for a short task. The reported outcome was temporary skin irritation resolved after washing. The pre-job checklist was incomplete.,0,,Unsafe Act,Low,Non-SIF,Process Area,Operations,1.0,
,0,,,,,,,,Logistics
,0,,,,,,,,Operations
,0,,,,,,,,Projects
,0,,,,,,,,Mechanical
,0,,,,,,,,Electrical Maintenance
"Unsafe work report: a worker handled wooden packaging while completing an urgent task. Gloves were not worn, creating a minor splinter event. Result: a splinter removed on site without further treatment. The worker received a verbal reminder but continued.",0,original_trusted,,,,,,,
,0,,,,,,,,Operations
