report_id,site,activity,description_raw,binary_sif,sif_probability,priority
OIL-UC-1059,Guwahati Pipeline Station,Routine inspection round,Notice board near Pig Launcher found with 22 outdated circulars still pinned alongside current ones.,0,0.04,Low
OIL-UC-1060,Duliajan Oilfield,Audit/compliance walkthrough,Noticeboard near Gas Compressor Station displaying a safety poster overdue for its 5-month scheduled update.,0,0.04,Low
OIL-UC-1061,Digboi Refinery,Routine inspection round,"Walkway near Reboiler Furnace Bay found with a small patch of loose gravel, 40 metres from any vehicle or process route.",0,0.12,Low
OIL-UC-1062,Jorhat Operations,Audit/compliance walkthrough,"Storage shelf near Compressed Gas Store found with non-hazardous spares stacked slightly above the marked height line, about 9 cm over.",0,0.06,Low
OIL-UC-1063,Moran Oilfield,Pre-operation verification,"Chair in the rest area near Drilling Rig Substructure found with a slightly loose leg, wobble noted but stable under normal use, reported 7 days ago.",0,0.12,Low
OIL-UC-1064,Offshore Rig-04,Shift changeover check,"Faded lane-marking paint observed near the SPM Mooring Buoy Support Vessel parking area, visibility reduced by roughly 22%.",0,0.06,Low
OIL-UC-1065,Guwahati Pipeline Station,Shift changeover check,"Small water stain noted on a ceiling tile near 220kV Cable Trench (RCC), traced to an old, now-repaired roof leak; no active leak for over 17 weeks.",0,0.08,Low
OIL-UC-1066,Duliajan Oilfield,Shift changeover check,"Visitor log near Flowline ROW Section 4 found with 31 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",0,0.15,Low
OIL-UC-1067,Digboi Refinery,Audit/compliance walkthrough,"Garden hose found coiled loosely across a low-traffic pedestrian path near Naphtha Splitter Unit, left out for approximately 31 hours.",0,0.16,Low
OIL-UC-1068,Jorhat Operations,Scheduled maintenance walkdown,"Lint buildup observed inside a utility dryer vent near Central Workshop, last cleaned approximately 36 months ago.",0,0.1,Low
OIL-UC-1069,Moran Oilfield,Scheduled maintenance walkdown,"Utility shelf near Cementing Unit found with cleaning supplies stacked neatly but close to the marked capacity line, about 6% full.",0,0.08,Low
OIL-UC-1070,Offshore Rig-04,Contractor oversight visit,"Small puddle of rainwater observed near Life Boat Station, 36 metres away from any electrical or process equipment.",0,0.07,Low
OIL-UC-1071,Guwahati Pipeline Station,Shift changeover check,"Outdated version of a general facility map displayed near Pig Launcher, superseded layout approximately 37 months old.",0,0.15,Low
OIL-UC-1072,Duliajan Oilfield,Routine inspection round,"Bicycle/scooter parking area near Gas Compressor Station found with uneven surface in one corner, away from any vehicle movement path, noted 18 days ago.",0,0.15,Low
OIL-UC-1073,Digboi Refinery,Shift changeover check,Security logbook near LPG Bottling Plant found with a supply gap (pen missing) for about 11 hours; log itself was maintained without interruption.,0,0.07,Low
OIL-UC-1074,Jorhat Operations,Scheduled maintenance walkdown,"Minor rust patch observed on a non-structural roof panel near Fleet Operations Yard, no leak or structural concern identified over 23 months of monitoring.",0,0.12,Low
OIL-UC-1075,Moran Oilfield,Shift changeover check,"Break-room refrigerator near Camp Site found running slightly warm (33 degrees above setpoint), no food-safety incident reported.",0,0.15,Low
OIL-UC-1076,Offshore Rig-04,Emergency-readiness drill prep,Signage near Catwalk / V-Door directing to the muster point found slightly faded but still legible from 29 metres.,0,0.07,Low
OIL-UC-1077,Guwahati Pipeline Station,Contractor oversight visit,"Non-critical spare-parts bin near 220kV Cable Trench (RCC) found unlabeled for approximately 10 weeks, contents still identifiable by staff.",0,0.16,Low
