report_id,report_type,report_date,site,unit,activity,description_clean,sif_label,binary_sif,sif_probability,life_saving_rules,hazard_energy,barrier_failure,credible_consequence,recommended_action,evidence_text,status
OIL-UC-0119,unsafe conditions,19-02-2026,Offshore Rig-04,Helideck,Helicopter operations,Helideck firefighting foam monitor found with expired inspection tag and low foam concentrate level.,Critical,1,0.65,Emergency Response,Thermal,Absent - firefighting readiness barrier compromised on helideck,Inadequate fire response during a helicopter incident,Refill foam concentrate and recertify monitor before next flight ops,expired inspection tag and low foam concentrate level,Open
OIL-UC-0120,unsafe conditions,24-02-2026,Offshore Rig-04,Mud Pump Room,Mud pumping,Mud pump room ventilation fan found seized; room temperature significantly elevated during operation.,Medium,1,0.29,Process Safety,Thermal,Degraded - ventilation control not functioning,Heat stress to personnel and potential vapor accumulation,"Repair fan, implement interim heat-stress monitoring",ventilation fan found seized,Open
OIL-UC-0121,unsafe conditions,01-03-2026,Guwahati Pipeline Station,Pig Launcher,Pigging operation,"Pig launcher pressure gauge and vent valve found with no recent calibration record, launcher opened without confirming zero pressure via a second method.",Critical,1,0.6,Process Safety; Energy Isolation,Mechanical/Pressure,Absent - independent pressure verification barrier missing,Launcher opened under residual pressure ejecting components at high energy,"Halt pigging operations, calibrate gauge, mandate dual verification before opening",opened without confirming zero pressure via a second method,Resolved
OIL-UC-0122,unsafe conditions,06-03-2026,Guwahati Pipeline Station,Metering Skid,Custody transfer metering,"Metering skid enclosure found with door interlock defeated using tape, allowing access while skid was energized.",Medium,1,0.35,Energy Isolation,Electrical,Absent - interlock defeated,Contact with energized components during access,"Remove tape, repair interlock, disable access until barrier restored",door interlock defeated using tape,Open
OIL-UC-0123,unsafe conditions,11-03-2026,Duliajan Oilfield,Flowline Right-of-Way,Flowline inspection,"Flowline right-of-way found with unauthorized excavation by a third party within 5 m of the pipeline, no OIL representative present.",High,1,0.49,Process Safety,Mechanical/Gravity,Absent - third-party encroachment control not enforced,Excavation strikes live flowline causing rupture,"Stop excavation, notify pipeline integrity team, enforce ROW monitoring",unauthorized excavation ... within 5 m,Open
OIL-UC-0124,unsafe conditions,16-03-2026,Duliajan Oilfield,Gas Compressor Station,Compression operation,"Compressor vibration monitoring system alarm disabled by operator to avoid nuisance trips during a difficult startup, not re-enabled after startup completed.",High,1,0.5,Process Safety,Mechanical,Absent - vibration protection barrier disabled and not restored,Undetected mechanical failure leads to catastrophic compressor failure,"Re-enable alarm immediately, review procedure for temporary alarm suppression",disabled ... not re-enabled after startup completed,Open
OIL-UC-0125,unsafe conditions,21-03-2026,Digboi Refinery,Boiler House,Steam generation,Boiler safety valve test overdue by 3 months; boiler continues to operate at full pressure.,Critical,1,0.68,Process Safety,Thermal/Pressure,Absent - overpressure protection unverified,Boiler overpressure causing explosion,"Schedule immediate safety valve test, reduce operating pressure as interim measure",test overdue by 3 months,Resolved
OIL-UC-0126,unsafe conditions,26-03-2026,Digboi Refinery,Effluent Treatment Plant,Wastewater handling,Handrail around the aeration tank at ETP found corroded through in one section.,Medium,1,0.31,Line of Fire,Gravity,Degraded - fall protection barrier weakened,Worker falls into aeration tank,Cordon area and replace corroded handrail section,corroded through in one section,Open
OIL-UC-0127,unsafe conditions,31-03-2026,Jorhat Operations,Fuel Storage Depot,Drum storage,Flammable liquid drums stored in the open yard without secondary containment or spill berm.,Medium,1,0.3,Process Safety,Chemical/Process,Absent - spill containment barrier absent,Uncontrolled spill spreads and finds an ignition source,Relocate drums to bunded storage area,without secondary containment or spill berm,Open
OIL-UC-0128,unsafe conditions,05-04-2026,Jorhat Operations,Vehicle Workshop,Vehicle jacking/lifting,Vehicle lift found operating past its annual load-test certification date with no re-test scheduled.,Medium,1,0.28,Line of Fire,Gravity,Degraded - lifting equipment certification lapsed,"Lift failure while vehicle raised, causes crush injury",Withdraw lift from service until re-tested and certified,past its annual load-test certification date,Open
OIL-UC-0129,unsafe conditions,10-04-2026,Moran Oilfield,Wellhead Area,Snubbing operation,"Snubbing unit anchor bolts found loose during pre-job inspection, job proceeding on schedule without torque re-check.",Critical,1,0.66,Line of Fire; Well Control,Mechanical,Absent - equipment anchoring barrier compromised before high-energy operation,Snubbing unit shifts under load causing well-control loss,"Halt job, torque and verify all anchor bolts before resuming",anchor bolts found loose ... proceeding ... without torque re-check,Resolved
OIL-UC-0130,unsafe conditions,15-04-2026,Moran Oilfield,Camp Site,Diesel storage,Diesel storage tank at field camp found without a fire extinguisher within the mandated 15 m radius.,Low,0,0.15,Emergency Response,Thermal,Absent - fire response equipment missing at storage point,Delayed fire response to a diesel storage fire,Place a rated extinguisher at the storage point immediately,without a fire extinguisher within the mandated 15 m radius,Open
OIL-UC-0131,unsafe conditions,20-04-2026,Offshore Rig-04,Accommodation Module,Fire safety systems,"Smoke detector in accommodation corridor found covered with tape, apparently to stop false alarms.",Medium,1,0.33,Emergency Response,Thermal,Absent - fire detection barrier defeated,Delayed fire detection in occupied living quarters,"Remove tape, test detector, investigate root cause of nuisance alarms",covered with tape,Open
OIL-UC-0132,unsafe conditions,25-04-2026,Offshore Rig-04,Moon Pool Area,ROV operations,"Moon pool guard grating found with a missing panel section, unguarded opening over open water.",High,1,0.47,Line of Fire,Gravity,Absent - fall/drop-through barrier missing,Personnel fall through opening into moon pool,"Cordon area, install temporary cover, replace grating panel","missing panel section, unguarded opening",Open
OIL-UC-0133,unsafe conditions,30-04-2026,Guwahati Pipeline Station,SCADA Control Room,Remote monitoring,"SCADA leak-detection software flagged as running on an unsupported, unpatched version for over a year.",Medium,1,0.32,Process Safety,Chemical/Process,Degraded - software-based detection barrier unmaintained,Delayed or missed leak detection alerts,Prioritize SCADA software update and patch cycle,"unsupported, unpatched version for over a year",Resolved
OIL-UC-0134,unsafe conditions,05-05-2026,Guwahati Pipeline Station,Block Valve Station,Emergency shutdown testing,"Remote-operated block valve failed to close fully during scheduled ESD test, left in partially open position afterward.",Critical,1,0.62,Process Safety,Mechanical/Pressure,Absent - emergency isolation barrier confirmed non-functional,Inability to isolate pipeline section during a real emergency,"Repair valve immediately, do not consider station ESD-ready until re-tested",failed to close fully ... left in partially open position,Open
OIL-UC-0135,unsafe conditions,10-05-2026,Duliajan Oilfield,Central Tank Farm,Tank gauging,"Tank overfill protection (independent high-high level switch) on Tank 3 found bypassed with a jumper wire during a previous maintenance activity, not removed.",Critical,1,0.7,Process Safety,Chemical/Process,Absent - independent overfill barrier bypassed and left in place,"Tank overfill during filling operation, spill and vapor cloud formation","Remove jumper immediately, verify switch function, audit all tanks for similar bypasses",bypassed with a jumper wire ... not removed,Open
OIL-UC-0136,unsafe conditions,15-05-2026,Duliajan Oilfield,Access Road,Heavy vehicle movement,"Access road to Wellpad 7 has a washed-out culvert crossing after recent rain, heavy vehicles continuing to use the route.",Medium,1,0.3,Safe Driving,Gravity,Absent - safe route control not enforced after ground condition change,Vehicle rollover or collapse of crossing under load,"Close route to heavy vehicles until repaired, arrange alternate route",washed-out culvert crossing ... vehicles continuing to use the route,Open
OIL-UC-0137,unsafe conditions,20-05-2026,Digboi Refinery,LPG Bottling Plant,Cylinder filling,"LPG cylinder filling scale found reading inconsistently, operators compensating by filling 'by feel' rather than recalibrating.",High,1,0.45,Process Safety,Chemical/Process,Degraded - fill-quantity control barrier unreliable,Overfilled cylinders create overpressure/BLEVE risk downstream,"Stop filling line, recalibrate scale before resuming",reading inconsistently ... filling 'by feel',Resolved
OIL-UC-0138,unsafe conditions,25-05-2026,Digboi Refinery,Cooling Tower,Water treatment,"Cooling tower access platform found with algae buildup making the walking surface visibly slippery, no anti-slip treatment applied.",Low,0,0.14,Line of Fire,Gravity,Degraded - walking-surface condition control lapsed,Slip and fall from elevated platform,"Clean surface and apply anti-slip coating, add to routine cleaning schedule",algae buildup making the walking surface visibly slippery,Open
OIL-UC-0139,unsafe conditions,30-05-2026,Jorhat Operations,Warehouse,Material storage,"Pallet racking at the warehouse found with a bent support beam on the second level, no inspection or load-reduction action taken.",Medium,1,0.34,Line of Fire,Gravity,Degraded - structural storage integrity compromised,Racking collapse drops stored material onto personnel below,"Reduce load on affected bay, schedule structural inspection",bent support beam ... no inspection or load-reduction action taken,Open
OIL-UC-0140,unsafe conditions,04-06-2026,Jorhat Operations,Compressed Gas Store,Cylinder storage,Oxygen and acetylene cylinders found stored together in the same cage without the required separation distance.,Medium,1,0.3,Process Safety,Chemical/Process,Absent - incompatible-material segregation barrier not maintained,Fire/explosion risk from oxygen-fuel gas proximity,"Separate cylinders immediately per storage code, retrain store staff",stored together in the same cage without the required separation,Open
OIL-UC-0141,unsafe conditions,09-06-2026,Moran Oilfield,Well Test Separator,Well testing,Well test separator pressure relief discharge line found routed toward an occupied walkway rather than to a safe location.,High,1,0.46,Process Safety,Mechanical/Pressure,Absent - safe discharge routing not provided,Relief discharge sprays personnel in walkway during a pressure event,Reroute discharge line to a safe/designated area before further testing,discharge line found routed toward an occupied walkway,Resolved
OIL-UC-0142,unsafe conditions,14-06-2026,Moran Oilfield,Fuel Tank Truck Bay,Tanker unloading,Tanker unloading bay found without a wheel chock in use while hose connection was in progress.,Medium,1,0.27,Line of Fire,Mechanical Motion,Absent - vehicle-movement control not applied during connected operation,"Tanker rolls during unloading, hose rupture and product release",Enforce wheel-chock use as mandatory pre-connection step,without a wheel chock in use while hose connection was in progress,Open
OIL-UC-0143,unsafe conditions,19-06-2026,Offshore Rig-04,Life Boat Station,Emergency preparedness,"Lifeboat davit found with a hydraulic fluid leak, lowering mechanism response noticeably slower than normal during routine drill.",High,1,0.44,Emergency Response,Mechanical,Degraded - emergency evacuation equipment reliability compromised,Delayed or failed lifeboat launch during a real emergency,"Repair hydraulic leak, re-test davit before certifying readiness",hydraulic fluid leak ... lowering mechanism ... slower than normal,Open
OIL-UC-0144,unsafe conditions,24-06-2026,Offshore Rig-04,Drill Floor,Pipe handling,"Pipe handling elevator latch found not engaging fully on inspection, crew reported compensating manually.",High,1,0.5,Line of Fire,Mechanical/Gravity,Degraded - load-holding barrier on lifting equipment unreliable,Dropped drill pipe onto drill floor personnel,"Stop pipe handling, repair or replace elevator before resuming operations",latch found not engaging fully ... compensating manually,Open
OIL-UC-0145,unsafe conditions,29-06-2026,Guwahati Pipeline Station,Fire Water System,Fire protection,"Fire water pump found in 'manual only' mode with auto-start disabled, no compensating watch posted.",Critical,1,0.6,Emergency Response,Thermal,Absent - automatic fire response barrier disabled,Delayed fire water availability during an incipient fire,Restore auto-start mode immediately or post continuous watch until restored,"auto-start disabled, no compensating watch posted",Resolved
OIL-UC-0146,unsafe conditions,04-07-2026,Guwahati Pipeline Station,Perimeter Fence,Site security,"Section of perimeter fence near the valve station found breached, unrestricted access to a high-pressure area.",Medium,1,0.29,Process Safety,Mechanical/Pressure,Absent - physical access control barrier breached,Unauthorized/uncontrolled access to high-energy equipment,Repair fence and increase patrol frequency until restored,section of perimeter fence ... found breached,Open
OIL-UC-0147,unsafe conditions,09-07-2026,Duliajan Oilfield,Wellpad 9,Artificial lift operation,"Sucker rod pumping unit counterweight guard found missing, unit continuing to operate in automatic mode.",High,1,0.48,Line of Fire,Mechanical,Absent - moving-machinery guard missing on operating equipment,Contact injury from moving counterweight,Stop unit and reinstall guard before restarting,counterweight guard found missing ... continuing to operate,Open
OIL-UC-0148,unsafe conditions,14-07-2026,Duliajan Oilfield,Chemical Injection Skid,Corrosion inhibitor injection,"Chemical injection skid found with a leaking pump seal, corrosion inhibitor pooling on the skid deck without secondary containment.",Medium,1,0.28,Process Safety,Chemical/Process,Degraded - containment barrier ineffective for leaking equipment,"Chemical exposure to personnel, slip hazard, environmental release","Repair seal, clean spill, verify containment tray drains are functional",pooling on the skid deck without secondary containment,Open
OIL-UC-0149,unsafe conditions,19-07-2026,Digboi Refinery,Nitrogen Generation Plant,Inert gas supply,"Confined space warning signage at nitrogen plant vessel entry found faded and illegible, no interim signage posted.",Medium,1,0.31,Confined Space,Chemical/Process,Degraded - hazard communication barrier ineffective,Personnel enter an oxygen-deficient space without adequate warning,"Replace signage immediately, verify all confined space entries are additionally covered by permit",signage ... found faded and illegible,Resolved
OIL-UC-0150,unsafe conditions,24-07-2026,Digboi Refinery,Hydrogen Unit,Hydrogen compression,Hydrogen leak detection tape near a compressor flange found discolored (indicating a past leak) but no corrective work order raised.,High,1,0.53,Process Safety,Chemical/Process,Degraded - leak indication observed but not acted upon,Recurrence of hydrogen leak near an ignition-prone compressor area,"Raise a work order immediately, inspect flange, monitor with a gas detector until repaired",tape ... found discolored ... no corrective work order raised,Open
OIL-UC-0151,unsafe conditions,29-07-2026,Jorhat Operations,Fire Station,Emergency response readiness,"Fire tender at Jorhat operations found with hydraulic pump pressure below operational minimum, vehicle still listed as 'ready' on the readiness board.",Critical,1,0.63,Emergency Response,Thermal,Absent - emergency response asset readiness misrepresented,Inadequate firefighting capability dispatched during a real emergency,"Correct readiness board immediately, repair pump, verify before next shift",pressure below operational minimum ... still listed as 'ready',Open
OIL-UC-0152,unsafe conditions,03-08-2026,Jorhat Operations,Training Center,Safety training facility,Fire extinguisher training rig at the training center found with an expired propane cylinder used for live-fire demonstrations.,Medium,1,0.27,Emergency Response,Thermal,Degraded - training equipment maintenance lapsed,Uncontrolled flare-up during a training demonstration,Replace cylinder and verify certification before next training session,expired propane cylinder used for live-fire demonstrations,Open
OIL-UC-0153,unsafe conditions,08-08-2026,Moran Oilfield,Cementing Unit,Well cementing operation,"Cementing unit high-pressure hose found with a visible bulge near the coupling, unit continuing pumping operations.",Critical,1,0.67,Line of Fire; Process Safety,Mechanical/Pressure,Absent - pressure-containment integrity of hose compromised during active pumping,Hose rupture under pressure causes whip/spray injury to crew,"Stop pumping immediately, replace hose before resuming",visible bulge near the coupling ... continuing pumping operations,Resolved
OIL-UC-0154,unsafe conditions,13-08-2026,Moran Oilfield,Generator Shed,Power generation,"Generator shed found with accumulated oily rags near the exhaust manifold, no spontaneous-combustion housekeeping check performed.",Medium,1,0.26,Process Safety,Thermal,Absent - housekeeping/ignition-source control lapsed,Spontaneous combustion of oily rags near a hot exhaust,"Remove rags, implement daily housekeeping check near hot equipment",accumulated oily rags near the exhaust manifold,Open
OIL-UC-0155,unsafe conditions,18-08-2026,Offshore Rig-04,Ballast Control Room,Rig stability management,"Ballast control system alarm for tank level deviation found silenced by operator during a busy period, not reactivated after the period ended.",Critical,1,0.6,Process Safety,Gravity/Mechanical,Absent - stability-monitoring barrier silenced and not restored,Undetected ballast imbalance affecting rig stability,"Reactivate alarm immediately, review procedure for temporary alarm silencing",silenced by operator ... not reactivated after the period ended,Open
OIL-UC-0156,unsafe conditions,23-08-2026,Offshore Rig-04,Chemical Storage Container,Drilling fluid additives,"Chemical storage container on deck found with door seal damaged, allowing seawater ingress observed pooling around drums.",Medium,1,0.28,Process Safety,Chemical/Process,Degraded - container integrity barrier compromised,Corrosion/reaction risk from water contact with stored chemicals,"Repair seal, relocate affected drums, inspect for damage",seawater ingress observed pooling around drums,Open
OIL-UC-0157,unsafe conditions,28-08-2026,Guwahati Pipeline Station,Odorization Skid,Gas odorization,"Odorant injection pump found with output significantly below the calibrated rate, gas odor levels downstream noted as 'faint' by field crew.",High,1,0.46,Process Safety,Chemical/Process,Degraded - leak-warning barrier (odorization) underperforming,Gas leak downstream goes undetected by smell due to insufficient odorant,"Recalibrate/repair injection pump, verify odor levels at multiple downstream points",output significantly below the calibrated rate,Resolved
OIL-UC-0158,unsafe conditions,02-09-2026,Guwahati Pipeline Station,Control Room,Alarm management,"Control room alarm system found with over 40 standing/unacknowledged alarms accumulated, operators reportedly no longer reviewing individual alarms.",High,1,0.5,Process Safety,Chemical/Process,Degraded - alarm-response barrier ineffective due to alarm flooding,Critical alarm missed among the backlog during an actual upset,"Clear and triage the standing alarm backlog, implement alarm rationalization review",over 40 standing/unacknowledged alarms accumulated,Open
OIL-UC-0159,unsafe conditions,07-09-2026,Duliajan Oilfield,Explosives/Perforating Store,Well perforation prep,Perforating gun storage magazine found with the required lightning protection grounding strap disconnected.,Critical,1,0.66,Process Safety,Electrical,Absent - lightning-strike protection barrier disconnected on an explosives store,"Lightning strike initiates explosives, catastrophic event","Reconnect grounding strap immediately, verify continuity, restrict storage use until confirmed",lightning protection grounding strap disconnected,Open
OIL-UC-0160,unsafe conditions,19-07-2026,Duliajan Oilfield,Produced Water Reinjection Well,Water injection,"Reinjection wellhead pressure relief system found with the relief line outlet blocked by dried sediment, discovered during routine test.",High,1,0.5,Process Safety,Mechanical/Pressure,Absent - relief pathway obstructed,"Overpressure at reinjection wellhead unable to relieve, potential equipment failure","Clear blockage immediately, implement periodic relief-line flow test",relief line outlet blocked by dried sediment,Open
OIL-UC-0200,unsafe conditions,01-03-2026,Duliajan Oilfield,Admin Office,General housekeeping,"Fire exit route in the admin building found partially obstructed by stacked stationery boxes, exit door itself unobstructed and functional.",Low,0,0.12,Emergency Response,None/Low,Degraded - egress clearance reduced but exit remains usable,Minor delay evacuating during an office-only fire,Clear boxes and mark clearance zone,partially obstructed by stacked stationery boxes,Resolved
OIL-UC-0201,unsafe conditions,04-03-2026,Digboi Refinery,Canteen,Food service area,"Canteen floor near the beverage counter found with a small water spill, no wet-floor sign placed for about 10 minutes before being noticed.",Low,0,0.1,Line of Fire,Gravity (minor),Degraded - slip warning delayed,Minor slip injury in a low-traffic non-process area,"Place wet-floor signage promptly, add spot-check to canteen routine","small water spill, no wet-floor sign",Open
OIL-UC-0202,unsafe conditions,07-03-2026,Jorhat Operations,Office Corridor,General facility upkeep,"Ceiling tile in the administrative corridor found slightly discolored from a past minor roof leak, no active leak observed and area is non-electrical.",Low,0,0.08,,,Functioning - no active hazard,"Cosmetic issue only, low likelihood of any injury",Replace tile during next maintenance cycle,slightly discolored from a past minor roof leak,Open
OIL-UC-0203,unsafe conditions,10-03-2026,Moran Oilfield,Break Room,Rest area,Break room noticeboard found with an outdated safety poster still displayed alongside current ones.,Low,0,0.05,,,Degraded - minor communication clutter,"Negligible, potential minor confusion only",Remove outdated poster at next review,outdated safety poster still displayed,Open
OIL-UC-0204,unsafe conditions,13-03-2026,Offshore Rig-04,Recreation Room,Crew welfare,"Recreation room chair found with a slightly loose leg, wobble noted but not a fall risk during normal use.",Low,0,0.07,,Gravity (minimal),Degraded - minor equipment wear,"Negligible, minor discomfort only",Repair or replace chair during routine maintenance,"slightly loose leg, wobble noted",Resolved
OIL-UC-0205,unsafe conditions,16-03-2026,Guwahati Pipeline Station,Visitor Reception,Administrative area,"Visitor sign-in register found with several entries missing the mandatory safety induction checkbox, though inductions were verbally confirmed by staff.",Low,0,0.09,Work Authorisation,,Degraded - documentation completeness lapse,"Negligible, an administrative gap rather than a live hazard",Retrain reception staff on register completion,missing the mandatory safety induction checkbox,Open
OIL-UC-0206,unsafe conditions,19-03-2026,Duliajan Oilfield,Store Room,Inventory storage,Non-hazardous spare parts store found with boxes stacked slightly above the recommended height line marked on the wall.,Low,0,0.11,Line of Fire,Gravity (minor),Degraded - storage height guideline not followed,Minor risk of a box falling from a low stack,Restack to marked height line,stacked slightly above the recommended height line,Open
OIL-UC-0207,unsafe conditions,22-03-2026,Digboi Refinery,Landscaped Area,Grounds maintenance,Garden hose left across a low-traffic pedestrian path near the landscaped area outside the main gate.,Low,0,0.06,Line of Fire,Gravity (trip),Degraded - minor trip hazard in a non-operational area,"Minor trip, low likelihood of significant injury",Coil and store hose after use,hose left across a low-traffic pedestrian path,Open
OIL-UC-0208,unsafe conditions,25-03-2026,Jorhat Operations,Two-Wheeler Parking,Employee parking,"Employee two-wheeler parking area found with uneven gravel surface in one corner, away from vehicle movement paths.",Low,0,0.08,,Gravity (minor),Degraded - surface maintenance lapse in low-risk area,"Minor stumble, unlikely to cause significant injury",Level gravel during next grounds maintenance,uneven gravel surface in one corner,Resolved
