report_id,report_type,description_raw,description_clean,site,activity,barrier_failure,iogp_life_saving_rule,risk_level,sif_potential,case_basis
NM_0424,Near Miss,"Near-miss observation: while performing Electrical maintenance at Storage depot, the team found that Lift plan missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","Near-miss observation: while performing Electrical maintenance at Storage depot, the team found that Lift plan missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",Storage depot,Electrical maintenance,Lift plan missing,Energy Isolation,High,1,Forklift handling controls
NM_0412,Near Miss,"Near-miss observation: while performing Hot work (welding/grinding) at Process plant, the team found that Trip interlock was found bypassed during a production upset. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","Near-miss observation: while performing Hot work (welding/grinding) at Process plant, the team found that Trip interlock was found bypassed during a production upset. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",Process plant,Hot work (welding/grinding),Trip interlock was found bypassed during a production upset,Hot Work,High,1,Energy isolation controls
NM_0681,Near Miss,"During routine checks at Field office area, Fall arrest missing was observed during Valve maintenance. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.","During routine checks at Field office area, Fall arrest missing was observed during Valve maintenance. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.",Field office area,Valve maintenance,Fall arrest missing,Working at Height,Critical,1,Chemical-handling controls
NM_0420,Near Miss,"During routine checks at Tank farm, Electrical supply and process pressure isolation were not independently verified was observed during Lifting and rigging. The situation had credible potential for serious injury. Work was halted due to high-risk exposure and corrective measures were implemented.","During routine checks at Tank farm, Electrical supply and process pressure isolation were not independently verified was observed during Lifting and rigging. The situation had credible potential for serious injury. Work was halted due to high-risk exposure and corrective measures were implemented.",Tank farm,Lifting and rigging,Electrical supply and process pressure isolation were not independently verified,Safe Mechanical Lifting,High,1,SIMOPS controls
NM_0731,Near Miss,"Near-miss observation: while performing Scaffold modification at Pump station, the team found that Simultaneous operations were not recorded in the permit briefing. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","Near-miss observation: while performing Scaffold modification at Pump station, the team found that Simultaneous operations were not recorded in the permit briefing. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",Pump station,Scaffold modification,Simultaneous operations were not recorded in the permit briefing,Working at Height,Critical,1,Permit-to-work controls
NM_0210,Near Miss,"Before/during Compressor troubleshooting at Maintenance yard, Emergency access route was partly obstructed by temporary materials. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.","Before/during Compressor troubleshooting at Maintenance yard, Emergency access route was partly obstructed by temporary materials. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.",Maintenance yard,Compressor troubleshooting,Emergency access route was partly obstructed by temporary materials,None/Not Applicable,Medium,0,Line-of-fire controls
NM_0395,Near Miss,"A Work scope had changed but the permit and job safety analysis were not revalidated was identified during Wellhead valve maintenance at Refinery unit. The activity was delayed pending correction. No one was exposed, but the observation required a documented corrective action.","A Work scope had changed but the permit and job safety analysis were not revalidated was identified during Wellhead valve maintenance at Refinery unit. The activity was delayed pending correction. No one was exposed, but the observation required a documented corrective action.",Refinery unit,Wellhead valve maintenance,Work scope had changed but the permit and job safety analysis were not revalidated,Hot Work,Medium,0,Energy isolation incident
NM_0518,Near Miss,"Near-miss observation: while performing Sampling and testing at Truck loading bay, the team found that Lift plan, tag lines, and barricaded drop zone were not available. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.","Near-miss observation: while performing Sampling and testing at Truck loading bay, the team found that Lift plan, tag lines, and barricaded drop zone were not available. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.",Truck loading bay,Sampling and testing,"Lift plan, tag lines, and barricaded drop zone were not available",Safe Mechanical Lifting,High,1,Finger injury during handling
NM_0581,Near Miss,"Near-miss observation: while performing Instrument calibration at LPG bottling plant, the team found that Tool inspection missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","Near-miss observation: while performing Instrument calibration at LPG bottling plant, the team found that Tool inspection missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",LPG bottling plant,Instrument calibration,Tool inspection missing,Confined Space,High,1,Process fire precursor
NM_0566,Near Miss,"Shift crew reported that during Pump seal replacement in Gas processing unit, Simultaneous operations were not recorded in the permit briefing. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.","Shift crew reported that during Pump seal replacement in Gas processing unit, Simultaneous operations were not recorded in the permit briefing. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.",Gas processing unit,Pump seal replacement,Simultaneous operations were not recorded in the permit briefing,None/Not Applicable,High,1,Confined-space entry controls
NM_0102,Near Miss,"Shift crew reported that during Excavation work in Pump station, Lift plan missing. No work stoppage was required. No work stoppage was required as the risk was minimal.","Shift crew reported that during Excavation work in Pump station, Lift plan missing. No work stoppage was required. No work stoppage was required as the risk was minimal.",Pump station,Excavation work,Lift plan missing,Safe Mechanical Lifting,Low,0,Hot work incident
NM_0631,Near Miss,"During routine checks at Field office area, Emergency access route was partly obstructed by temporary materials was observed during Scaffolding work. Work was stopped urgently and emergency response was initiated. The situation had imminent potential for fatality and was escalated immediately.","During routine checks at Field office area, Emergency access route was partly obstructed by temporary materials was observed during Scaffolding work. Work was stopped urgently and emergency response was initiated. The situation had imminent potential for fatality and was escalated immediately.",Field office area,Scaffolding work,Emergency access route was partly obstructed by temporary materials,Working at Height,Critical,1,Hot work incident
NM_0408,Near Miss,"Before/during Scaffold modification at Truck loading bay, Lockout-tagout missing. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","Before/during Scaffold modification at Truck loading bay, Lockout-tagout missing. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",Truck loading bay,Scaffold modification,Lockout-tagout missing,Energy Isolation,High,1,Energy isolation controls
NM_0492,Near Miss,Inspection revealed Guard missing during Housekeeping inspection at Pipeline ROW. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.,Inspection revealed Guard missing during Housekeeping inspection at Pipeline ROW. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.,Pipeline ROW,Housekeeping inspection,Guard missing,None/Not Applicable,High,1,Vehicle collision precursor
NM_0070,Near Miss,"Shift crew reported that during Hot work (welding/grinding) in LPG bottling plant, Lift plan, tag lines, and barricaded drop zone were not available. Corrective action was taken on the spot. The observation was logged and addressed during the same shift.","Shift crew reported that during Hot work (welding/grinding) in LPG bottling plant, Lift plan, tag lines, and barricaded drop zone were not available. Corrective action was taken on the spot. The observation was logged and addressed during the same shift.",LPG bottling plant,Hot work (welding/grinding),"Lift plan, tag lines, and barricaded drop zone were not available",Hot Work,Low,0,Energy isolation incident
NM_0203,Near Miss,"During routine checks at Field office area, Exclusion zone missing was observed during Emergency valve servicing. The supervisor reviewed and approved continuation after correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","During routine checks at Field office area, Exclusion zone missing was observed during Emergency valve servicing. The supervisor reviewed and approved continuation after correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.",Field office area,Emergency valve servicing,Exclusion zone missing,Line of Fire,Medium,0,Slip/trip/fall incident
NM_0471,Near Miss,"During Pump seal replacement at Wellsite, Atmosphere not tested. The situation had credible potential for serious injury. A supervisor issued a stop-work intervention and required a formal control verification.","During Pump seal replacement at Wellsite, Atmosphere not tested. The situation had credible potential for serious injury. A supervisor issued a stop-work intervention and required a formal control verification.",Wellsite,Pump seal replacement,Atmosphere not tested,Confined Space,High,1,Pressure-testing controls
NM_0172,Near Miss,A Trip interlock was found bypassed during a production upset was identified during Pipe spool welding at Storage depot. Work was paused briefly and the issue was resolved. The issue was minor and was rectified before it affected the task.,A Trip interlock was found bypassed during a production upset was identified during Pipe spool welding at Storage depot. Work was paused briefly and the issue was resolved. The issue was minor and was rectified before it affected the task.,Storage depot,Pipe spool welding,Trip interlock was found bypassed during a production upset,Hot Work,Low,0,Energy isolation incident
NM_0249,Near Miss,"Shift crew reported that during Scaffolding work in LPG bottling plant, Simultaneous operations were not recorded in the permit briefing. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.","Shift crew reported that during Scaffolding work in LPG bottling plant, Simultaneous operations were not recorded in the permit briefing. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.",LPG bottling plant,Scaffolding work,Simultaneous operations were not recorded in the permit briefing,Working at Height,Medium,0,Excavation controls
NM_0578,Near Miss,Inspection revealed Spill containment missing during Internal tank inspection at Storage tank. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,Inspection revealed Spill containment missing during Internal tank inspection at Storage tank. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,Storage tank,Internal tank inspection,Spill containment missing,Confined Space,High,1,Chemical-handling controls
NM_0485,Near Miss,"Before/during Drilling operations at Offshore platform, Emergency response delayed. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","Before/during Drilling operations at Offshore platform, Emergency response delayed. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",Offshore platform,Drilling operations,Emergency response delayed,Working at Height,High,1,Maintenance fabrication fire
NM_0520,Near Miss,Inspection revealed Drain cover was open and combustible vapour testing was not documented during Sampling and testing at Drilling rig. Work was stopped due to potential serious injury risk. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,Inspection revealed Drain cover was open and combustible vapour testing was not documented during Sampling and testing at Drilling rig. Work was stopped due to potential serious injury risk. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,Drilling rig,Sampling and testing,Drain cover was open and combustible vapour testing was not documented,Hot Work,High,1,Lifting/crane incident
NM_0563,Near Miss,A Line was not depressurised and workers were positioned in the potential release path was identified during Hot work (welding/grinding) at Drilling rig. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,A Line was not depressurised and workers were positioned in the potential release path was identified during Hot work (welding/grinding) at Drilling rig. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,Drilling rig,Hot work (welding/grinding),Line was not depressurised and workers were positioned in the potential release path,Hot Work,High,1,Pinch-point controls
NM_0100,Near Miss,"During Night driving to remote site at Offshore platform, Drain cover was open and combustible vapour testing was not documented. Corrective action was taken on the spot. The team recorded the observation and completed immediate housekeeping correction.","During Night driving to remote site at Offshore platform, Drain cover was open and combustible vapour testing was not documented. Corrective action was taken on the spot. The team recorded the observation and completed immediate housekeeping correction.",Offshore platform,Night driving to remote site,Drain cover was open and combustible vapour testing was not documented,Hot Work,Low,0,Forklift handling controls
NM_0430,Near Miss,"During routine checks at Gas processing unit, Gas testing was overdue and no dedicated fire watch was assigned was observed during Scaffold modification. The activity was stopped as it could have resulted in serious harm. Work was halted due to high-risk exposure and corrective measures were implemented.","During routine checks at Gas processing unit, Gas testing was overdue and no dedicated fire watch was assigned was observed during Scaffold modification. The activity was stopped as it could have resulted in serious harm. Work was halted due to high-risk exposure and corrective measures were implemented.",Gas processing unit,Scaffold modification,Gas testing was overdue and no dedicated fire watch was assigned,Confined Space,High,1,Confined space entry incident
NM_0399,Near Miss,"During Chemical sampling at Compressor station, Open edge protection and full-body harness anchorage were unavailable. The job proceeded only after corrective measures. Work was temporarily halted pending verification of the control measure.","During Chemical sampling at Compressor station, Open edge protection and full-body harness anchorage were unavailable. The job proceeded only after corrective measures. Work was temporarily halted pending verification of the control measure.",Compressor station,Chemical sampling,Open edge protection and full-body harness anchorage were unavailable,Working at Height,Medium,0,LPG release incident
NM_0558,Near Miss,"During Drilling operations at Wellsite, Fall arrest missing. The job was halted due to high-risk exposure. Work was halted due to high-risk exposure and corrective measures were implemented.","During Drilling operations at Wellsite, Fall arrest missing. The job was halted due to high-risk exposure. Work was halted due to high-risk exposure and corrective measures were implemented.",Wellsite,Drilling operations,Fall arrest missing,Working at Height,High,1,LPG release incident
NM_0488,Near Miss,"A Simultaneous operations were not recorded in the permit briefing was identified during Internal tank inspection at Refinery unit. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","A Simultaneous operations were not recorded in the permit briefing was identified during Internal tank inspection at Refinery unit. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",Refinery unit,Internal tank inspection,Simultaneous operations were not recorded in the permit briefing,Confined Space,High,1,LPG release incident
NM_0317,Near Miss,"Near-miss observation: while performing Chemical sampling at Drilling rig, the team found that Drain cover was open and combustible vapour testing was not documented. The supervisor reviewed and approved continuation after correction. The supervisor reviewed the situation and approved continuation after correction.","Near-miss observation: while performing Chemical sampling at Drilling rig, the team found that Drain cover was open and combustible vapour testing was not documented. The supervisor reviewed and approved continuation after correction. The supervisor reviewed the situation and approved continuation after correction.",Drilling rig,Chemical sampling,Drain cover was open and combustible vapour testing was not documented,Hot Work,Medium,0,Fall from height
NM_0199,Near Miss,"Before/during Reversing vehicle operations at Refinery unit, No pre-entry gas test, attendant, rescue arrangement, or signed entry permit. The area was corrected immediately. The team recorded the observation and completed immediate housekeeping correction.","Before/during Reversing vehicle operations at Refinery unit, No pre-entry gas test, attendant, rescue arrangement, or signed entry permit. The area was corrected immediately. The team recorded the observation and completed immediate housekeeping correction.",Refinery unit,Reversing vehicle operations,"No pre-entry gas test, attendant, rescue arrangement, or signed entry permit",Confined Space,Low,0,Vehicle-movement controls
NM_0789,Near Miss,"Shift crew reported that during Hot work (welding/grinding) in Drilling rig, Open edge protection and full-body harness anchorage were unavailable. Actual exposure to hazardous conditions occurred. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.","Shift crew reported that during Hot work (welding/grinding) in Drilling rig, Open edge protection and full-body harness anchorage were unavailable. Actual exposure to hazardous conditions occurred. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",Drilling rig,Hot work (welding/grinding),Open edge protection and full-body harness anchorage were unavailable,Hot Work,Critical,1,Equipment failure incident
NM_0504,Near Miss,"Inspection revealed Guard missing during Crude transfer vehicle movement at Storage depot. Work was stopped due to potential serious injury risk. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","Inspection revealed Guard missing during Crude transfer vehicle movement at Storage depot. Work was stopped due to potential serious injury risk. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",Storage depot,Crude transfer vehicle movement,Guard missing,Energy Isolation,High,1,Lifting/crane incident
NM_0621,Near Miss,"During routine checks at Process plant, Damaged pallet and unstable load were being raised without a spotter was observed during Vehicle movement. Multiple workers were at risk of serious injury or fatality. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.","During routine checks at Process plant, Damaged pallet and unstable load were being raised without a spotter was observed during Vehicle movement. Multiple workers were at risk of serious injury or fatality. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",Process plant,Vehicle movement,Damaged pallet and unstable load were being raised without a spotter,Driving,Critical,1,Energy isolation controls
NM_0474,Near Miss,A Driver fatigue screening and journey-management check were incomplete was identified during Excavation work at Pipeline ROW. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.,A Driver fatigue screening and journey-management check were incomplete was identified during Excavation work at Pipeline ROW. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.,Pipeline ROW,Excavation work,Driver fatigue screening and journey-management check were incomplete,Line of Fire,High,1,Wellsite fatality precursor
NM_0500,Near Miss,"A No pre-entry gas test, attendant, rescue arrangement, or signed entry permit was identified during Pressure vessel testing at Storage depot. The situation had credible potential for serious injury. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.","A No pre-entry gas test, attendant, rescue arrangement, or signed entry permit was identified during Pressure vessel testing at Storage depot. The situation had credible potential for serious injury. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.",Storage depot,Pressure vessel testing,"No pre-entry gas test, attendant, rescue arrangement, or signed entry permit",Confined Space,High,1,Energy isolation controls
NM_0010,Near Miss,A Scaffold was altered without inspection tag and toe boards were missing was identified during Hydrostatic pressure test at Compressor station. Corrective action was taken on the spot. No work stoppage was required as the risk was minimal.,A Scaffold was altered without inspection tag and toe boards were missing was identified during Hydrostatic pressure test at Compressor station. Corrective action was taken on the spot. No work stoppage was required as the risk was minimal.,Compressor station,Hydrostatic pressure test,Scaffold was altered without inspection tag and toe boards were missing,Driving,Low,0,Scaffold controls
NM_0042,Near Miss,Inspection revealed Spill containment missing during Confined space entry at Field office area. No work stoppage was required. The team recorded the observation and completed immediate housekeeping correction.,Inspection revealed Spill containment missing during Confined space entry at Field office area. No work stoppage was required. The team recorded the observation and completed immediate housekeeping correction.,Field office area,Confined space entry,Spill containment missing,Confined Space,Low,0,SIMOPS controls
NM_0591,Near Miss,A Driver fatigue screening and journey-management check were incomplete was identified during Valve maintenance at Gas processing unit. The activity was stopped as it could have resulted in serious harm. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,A Driver fatigue screening and journey-management check were incomplete was identified during Valve maintenance at Gas processing unit. The activity was stopped as it could have resulted in serious harm. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,Gas processing unit,Valve maintenance,Driver fatigue screening and journey-management check were incomplete,Driving,High,1,Forklift handling controls
NM_0776,Near Miss,"A Permit missing was identified during Pipe spool welding at Truck loading bay. The situation had imminent potential for fatality and was escalated immediately. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","A Permit missing was identified during Pipe spool welding at Truck loading bay. The situation had imminent potential for fatality and was escalated immediately. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",Truck loading bay,Pipe spool welding,Permit missing,Hot Work,Critical,1,Furnace explosion precursor
NM_0230,Near Miss,"Near-miss observation: while performing Emergency valve servicing at Wellsite, the team found that Electrical supply and process pressure isolation were not independently verified. The supervisor reviewed and approved continuation after correction. The supervisor reviewed the situation and approved continuation after correction.","Near-miss observation: while performing Emergency valve servicing at Wellsite, the team found that Electrical supply and process pressure isolation were not independently verified. The supervisor reviewed and approved continuation after correction. The supervisor reviewed the situation and approved continuation after correction.",Wellsite,Emergency valve servicing,Electrical supply and process pressure isolation were not independently verified,Confined Space,Medium,0,Hot-work controls
NM_0039,Near Miss,"During routine checks at Field office area, Electrical supply and process pressure isolation were not independently verified was observed during LPG bottling operations. The team corrected it without delay. The observation was logged and addressed during the same shift.","During routine checks at Field office area, Electrical supply and process pressure isolation were not independently verified was observed during LPG bottling operations. The team corrected it without delay. The observation was logged and addressed during the same shift.",Field office area,LPG bottling operations,Electrical supply and process pressure isolation were not independently verified,Hot Work,Low,0,Maintenance fabrication fire
NM_0539,Near Miss,"During Valve maintenance at LPG bottling plant, Exclusion zone missing. The job was halted due to high-risk exposure. A supervisor issued a stop-work intervention and required a formal control verification.","During Valve maintenance at LPG bottling plant, Exclusion zone missing. The job was halted due to high-risk exposure. A supervisor issued a stop-work intervention and required a formal control verification.",LPG bottling plant,Valve maintenance,Exclusion zone missing,Line of Fire,High,1,Electrical shock precursor
NM_0086,Near Miss,"Near-miss observation: while performing Compressor troubleshooting at Offshore platform, the team found that Communication failure. No work stoppage was required. The team recorded the observation and completed immediate housekeeping correction.","Near-miss observation: while performing Compressor troubleshooting at Offshore platform, the team found that Communication failure. No work stoppage was required. The team recorded the observation and completed immediate housekeeping correction.",Offshore platform,Compressor troubleshooting,Communication failure,Work Authorization,Low,0,Process fire precursor
NM_0011,Near Miss,"During routine checks at Process plant, Permit missing was observed during Scaffold modification. No work stoppage was required. The issue was minor and was rectified before it affected the task.","During routine checks at Process plant, Permit missing was observed during Scaffold modification. No work stoppage was required. The issue was minor and was rectified before it affected the task.",Process plant,Scaffold modification,Permit missing,Working at Height,Low,0,LPG release incident
NM_0532,Near Miss,"Near-miss observation: while performing Lifting and rigging at LPG bottling plant, the team found that Exclusion zone missing. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.","Near-miss observation: while performing Lifting and rigging at LPG bottling plant, the team found that Exclusion zone missing. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.",LPG bottling plant,Lifting and rigging,Exclusion zone missing,Safe Mechanical Lifting,High,1,Confined-space entry controls
NM_0327,Near Miss,"Before/during Confined space entry at Pipeline ROW, Reversing was attempted without a banksman and pedestrian segregation. Work was stopped temporarily and resumed after verification. Work was temporarily halted pending verification of the control measure.","Before/during Confined space entry at Pipeline ROW, Reversing was attempted without a banksman and pedestrian segregation. Work was stopped temporarily and resumed after verification. Work was temporarily halted pending verification of the control measure.",Pipeline ROW,Confined space entry,Reversing was attempted without a banksman and pedestrian segregation,Confined Space,Medium,0,Journey-management controls
NM_0268,Near Miss,"During Hydrostatic pressure test at Wellsite, Tool inspection missing. The supervisor reviewed and approved continuation after correction. Work was temporarily halted pending verification of the control measure.","During Hydrostatic pressure test at Wellsite, Tool inspection missing. The supervisor reviewed and approved continuation after correction. Work was temporarily halted pending verification of the control measure.",Wellsite,Hydrostatic pressure test,Tool inspection missing,Work Authorization,Medium,0,SIMOPS controls
NM_0202,Near Miss,"During Pipe spool welding at Compressor station, Gas testing was overdue and no dedicated fire watch was assigned. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.","During Pipe spool welding at Compressor station, Gas testing was overdue and no dedicated fire watch was assigned. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.",Compressor station,Pipe spool welding,Gas testing was overdue and no dedicated fire watch was assigned,Confined Space,Medium,0,Line-of-fire controls
NM_0576,Near Miss,"During Pump maintenance at LPG bottling plant, Communication failure. The activity was stopped as it could have resulted in serious harm. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","During Pump maintenance at LPG bottling plant, Communication failure. The activity was stopped as it could have resulted in serious harm. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",LPG bottling plant,Pump maintenance,Communication failure,None/Not Applicable,High,1,Vehicle collision precursor
NM_0467,Near Miss,Inspection revealed Procedure not followed during Drilling operations at Compressor station. The situation had credible potential for serious injury. The situation had credible potential for serious injury and was escalated immediately.,Inspection revealed Procedure not followed during Drilling operations at Compressor station. The situation had credible potential for serious injury. The situation had credible potential for serious injury and was escalated immediately.,Compressor station,Drilling operations,Procedure not followed,Work Authorization,High,1,Vehicle collision precursor
NM_0564,Near Miss,Inspection revealed Damaged pallet and unstable load were being raised without a spotter during Internal tank inspection at Storage depot. The job was halted due to high-risk exposure. A supervisor issued a stop-work intervention and required a formal control verification.,Inspection revealed Damaged pallet and unstable load were being raised without a spotter during Internal tank inspection at Storage depot. The job was halted due to high-risk exposure. A supervisor issued a stop-work intervention and required a formal control verification.,Storage depot,Internal tank inspection,Damaged pallet and unstable load were being raised without a spotter,Confined Space,High,1,Process fire precursor
