python predict_v3.py
report_text,category,risk_level,sif_label,sif_binary,facility,department
"During planned shutdown work, a worker operated a forklift without wearing the seatbelt and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During planned shutdown work, a worker performed welding with no hot-work controls and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During planned shutdown work, a worker inspected rotating equipment with the protective guard installed and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During normal production, a worker operated a forklift with the seatbelt fastened and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During planned shutdown work, a worker worked at height on an elevated platform with an unconnected lanyard and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During normal production, a worker stopped the machine, after isolating and locking out energy, and verified zero energy before work. and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During normal production, a worker inspected rotating equipment bypassing the machine guard and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During a scheduled inspection, a worker inspected rotating equipment with the protective guard installed and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker performed welding without a hot-work permit and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During routine maintenance, a worker performed welding with no hot-work controls resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a scheduled inspection, a worker worked at height on an elevated platform with full fall protection in place and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During a night shift, a worker opened an electrical panel after isolation and voltage verification and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During normal production, a worker inspected rotating equipment with guards removed and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During a night shift, a worker remained outside the exclusion zone while a load was suspended overhead clear of the restricted area. and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"While completing an urgent task, a worker stopped the machine, after isolating and locking out energy, and verified zero energy before work. and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During a night shift, a worker stopped the machine, energy sources were isolated and locked out, and verified zero energy before work. and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a night shift, a worker reached into a moving machine with LOTO not applied and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During a night shift, a worker worked at height on an elevated platform with no harness attached and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During normal production, a worker stopped the machine, with proper LOTO and verified zero energy, and verified zero energy before work. and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"While completing an urgent task, a worker remained outside the exclusion zone while a load was suspended overhead at a safe distance from the load. and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During normal production, a worker entered a confined space with a valid confined-space permit and continuous monitoring and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During routine maintenance, a worker stopped the machine, with proper LOTO and verified zero energy, and verified zero energy before work. and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During normal production, a worker worked at height on an elevated platform without wearing a harness and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During normal production, a worker performed welding bypassing the hot-work permit and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During routine maintenance, a worker reached into a moving machine without applying lockout-tagout and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a scheduled inspection, a worker stood directly below a suspended load entering the restricted area causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker opened an electrical panel with proper electrical isolation and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During normal production, a worker reached into a moving machine bypassing lockout-tagout and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"While completing an urgent task, a worker inspected rotating equipment with machine guard bypassed and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During routine maintenance, a worker opened an electrical panel without verifying zero voltage and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During a night shift, a worker worked at height on an elevated platform without fall protection and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a scheduled inspection, a worker opened an electrical panel while energized and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During planned shutdown work, a worker performed welding bypassing the hot-work permit and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During planned shutdown work, a worker inspected rotating equipment with machine guards properly installed and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"While completing an urgent task, a worker performed welding with no hot-work controls and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During a night shift, a worker opened an electrical panel without isolation and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a night shift, a worker worked at height on an elevated platform with no harness attached and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"While completing an urgent task, a worker remained outside the exclusion zone while a load was suspended overhead behind the barricade. and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During normal production, a worker stopped the machine, lockout-tagout was applied, and verified zero energy before work. and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
Trencher uncovered worker buried. Worker died. Trencher operator unaware of worker. No isolation. Hand signals not used. Operator reversed without viewing. Worker in blind spot. Tragic incident.,Unsafe Act,High,SIF,1,Excavation Area,Civil Construction
"During normal production, a worker inspected rotating equipment with machine guard bypassed and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During routine maintenance, a worker inspected rotating equipment with machine guard bypassed resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a scheduled inspection, a worker operated a forklift with seatbelt in use and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a night shift, a worker performed welding after clearing combustibles and posting a fire watch and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a scheduled inspection, a worker inspected rotating equipment after ensuring guards were installed and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"While completing an urgent task, a worker inspected rotating equipment with guards removed resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During routine maintenance, a worker performed welding with a valid hot-work permit and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During routine maintenance, a worker stood directly below a suspended load beneath the load in the restricted area and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During planned shutdown work, a worker performed welding with a valid hot-work permit and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During normal production, a worker inspected rotating equipment after ensuring guards were installed and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During routine maintenance, a worker inspected rotating equipment with the guard removed resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a scheduled inspection, a worker operated a forklift with the seatbelt fastened and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During normal production, a worker inspected rotating equipment with the protective guard installed and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During planned shutdown work, a worker worked at height on an elevated platform with no harness attached and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During planned shutdown work, a worker reached into a moving machine with LOTO not applied and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During routine maintenance, a worker worked at height on an elevated platform without wearing a harness and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"While completing an urgent task, a worker worked at height on an elevated platform with an unconnected lanyard and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
Worker standing on unstable work platform. Platform collapsed - fell 4 meters. Broken ankle and wrist. Platform made of makeshift materials. No engineered work platform. Worker constructing structure at height.,Unsafe Act,High,SIF,1,Construction Area,Civil
"During planned shutdown work, a worker inspected rotating equipment without the protective guard and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During routine maintenance, a worker inspected rotating equipment with machine guard bypassed and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"While completing an urgent task, a worker worked at height on an elevated platform with fall protection properly attached and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a night shift, a worker remained outside the exclusion zone while a load was suspended overhead at a safe distance from the load. and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During planned shutdown work, a worker operated a forklift with seatbelt properly worn and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a night shift, a worker operated a forklift wearing the seatbelt and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During normal production, a worker stopped the machine, lockout-tagout was applied, and verified zero energy before work. and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During routine maintenance, a worker operated a forklift with the seatbelt fastened and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During normal production, a worker inspected rotating equipment with the guard removed and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During a scheduled inspection, a worker performed welding without clearing combustibles and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
Welding near open toxic material. Fumes reacted - explosion. Worker's face burned. Toxic material not moved. Permit not obtained. Worker assumed empty - not true. Fire department responded quickly. Burns to face.,Unsafe Act,High,SIF,1,Maintenance Area,Operations
"During a night shift, a worker performed welding bypassing the hot-work permit and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During routine maintenance, a worker inspected rotating equipment with machine guards properly installed and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
Electric shock from faulty equipment. Worker reported defective tool but continued using. Tool had exposed wiring. Shock knocked worker unconscious. Co-worker performed CPR until ambulance arrived. Survived with burns.,Unsafe Act,Medium,Non-SIF,0,Maintenance Shop,Electrical Maintenance
"During a night shift, a worker opened an electrical panel with no electrical isolation and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During normal production, a worker inspected rotating equipment without the protective guard and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During routine maintenance, a worker remained outside the exclusion zone while a load was suspended overhead behind the barricade. and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"While completing an urgent task, a worker remained outside the exclusion zone while a load was suspended overhead behind the barricade. and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During planned shutdown work, a worker operated a forklift with seatbelt not worn and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"While completing an urgent task, a worker inspected rotating equipment with the guard removed and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During planned shutdown work, a worker inspected rotating equipment with machine guards properly installed and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a scheduled inspection, a worker operated a forklift using the seatbelt as required and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a night shift, a worker operated a forklift using the seatbelt as required and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During a scheduled inspection, a worker inspected rotating equipment with machine guard bypassed and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During a night shift, a worker performed welding with permit and fire prevention measures and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During normal production, a worker worked at height on an elevated platform with fall protection properly attached and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During normal production, a worker inspected rotating equipment with all guards in place and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During normal production, a worker inspected rotating equipment with machine guard bypassed and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During routine maintenance, a worker reached into a moving machine bypassing lockout-tagout and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During planned shutdown work, a worker performed welding without permit or fire precautions and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During a scheduled inspection, a worker stopped the machine, with proper LOTO and verified zero energy, and verified zero energy before work. and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During normal production, a worker opened an electrical panel after isolation and voltage verification and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a scheduled inspection, a worker worked at height on an elevated platform with full fall protection in place and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During normal production, a worker opened an electrical panel without de-energizing causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
Pipe wrench slipped - worker fell off platform. Worker not using fall protection. Platform at 3 meters. Wrist and ankle fractures. Wrench not properly adjusted. Work surface slippery with oil.,Unsafe Act,Medium,Non-SIF,0,Pipe Rack Area,Maintenance Mechanical
"During a scheduled inspection, a worker worked at height on an elevated platform with full fall protection in place and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During planned shutdown work, a worker worked at height on an elevated platform with fall protection properly attached and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a scheduled inspection, a worker entered a confined space without testing the atmosphere and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During normal production, a worker operated a forklift wearing the seatbelt and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During planned shutdown work, a worker worked at height on an elevated platform with no harness attached causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During a night shift, a worker reached into a moving machine while the machine remained energized and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During routine maintenance, a worker remained outside the exclusion zone while a load was suspended overhead clear of the restricted area. and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During normal production, a worker operated a forklift without seatbelt fastened and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker opened an electrical panel with verified zero energy state and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During a scheduled inspection, a worker opened an electrical panel without isolation and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During routine maintenance, a worker worked at height on an elevated platform wearing proper fall arrest equipment and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a night shift, a worker reached into a moving machine while the machine remained energized resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During planned shutdown work, a worker worked at height on an elevated platform with full fall protection in place and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
Confined space rescue team not trained. Worker collapsed in pit. Rescue attempt delayed by 15 minutes. Worker suffered brain damage from oxygen deprivation. Training records out of date. Rescue equipment not maintained.,Unsafe Act,High,SIF,1,Confined Space Area,Operations EHS
"During normal production, a worker worked at height on an elevated platform with an unconnected lanyard causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"While completing an urgent task, a worker inspected rotating equipment with the guard removed and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During planned shutdown work, a worker inspected rotating equipment bypassing the machine guard resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"While completing an urgent task, a worker inspected rotating equipment with machine guards properly installed and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a scheduled inspection, a worker entered a confined space without a confined-space permit and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During normal production, a worker stopped the machine, with proper LOTO and verified zero energy, and verified zero energy before work. and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a night shift, a worker performed welding bypassing the hot-work permit and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During normal production, a worker remained outside the exclusion zone while a load was suspended overhead clear of the restricted area. and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During routine maintenance, a worker stood directly below a suspended load ignoring the exclusion zone and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"While completing an urgent task, a worker reached into a moving machine with LOTO not applied and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During a scheduled inspection, a worker opened an electrical panel without verifying zero voltage and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During normal production, a worker worked at height on an elevated platform with a harness and connected lanyard and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During normal production, a worker performed welding without permit or fire precautions and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"While completing an urgent task, a worker stood directly below a suspended load inside the exclusion zone and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"While completing an urgent task, a worker operated a forklift with seatbelt in use and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During normal production, a worker remained outside the exclusion zone while a load was suspended overhead clear of the restricted area. and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During planned shutdown work, a worker worked at height on an elevated platform with a harness and connected lanyard and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During a night shift, a worker inspected rotating equipment without the protective guard and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During a night shift, a worker stood directly below a suspended load ignoring the exclusion zone and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During a night shift, a worker inspected rotating equipment without the protective guard and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During normal production, a worker remained outside the exclusion zone while a load was suspended overhead behind the barricade. and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a night shift, a worker performed welding with no hot-work controls and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"While completing an urgent task, a worker opened an electrical panel while energized and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During a night shift, a worker reached into a moving machine while the machine remained energized causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a scheduled inspection, a worker stopped the machine, after isolating and locking out energy, and verified zero energy before work. and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During routine maintenance, a worker inspected rotating equipment with machine guard bypassed and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During normal production, a worker entered a confined space after confirming safe oxygen levels and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During routine maintenance, a worker performed welding with valid permit and combustibles cleared and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker entered a confined space without testing the atmosphere causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"While completing an urgent task, a worker operated a forklift with seatbelt in use and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a night shift, a worker opened an electrical panel after de-energizing and verifying zero voltage and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"While completing an urgent task, a worker stopped the machine, after isolating and locking out energy, and verified zero energy before work. and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
