report_id,site,activity,description_raw,sif_probability,binary_sif,priority
NM_0424,Storage depot,Electrical maintenance,"Near-miss observation: while performing Electrical maintenance at Storage depot, the team found that Lift plan missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",0.095159955,0,Low
NM_0412,Process plant,Hot work (welding/grinding),"Near-miss observation: while performing Hot work (welding/grinding) at Process plant, the team found that Trip interlock was found bypassed during a production upset. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",0.018473433,0,Low
NM_0681,Field office area,Valve maintenance,"During routine checks at Field office area, Fall arrest missing was observed during Valve maintenance. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.",0.94686985,1,Critical
NM_0420,Tank farm,Lifting and rigging,"During routine checks at Tank farm, Electrical supply and process pressure isolation were not independently verified was observed during Lifting and rigging. The situation had credible potential for serious injury. Work was halted due to high-risk exposure and corrective measures were implemented.",0.94601667,1,Critical
NM_0731,Pump station,Scaffold modification,"Near-miss observation: while performing Scaffold modification at Pump station, the team found that Simultaneous operations were not recorded in the permit briefing. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",0.95981497,1,Critical
NM_0210,Maintenance yard,Compressor troubleshooting,"Before/during Compressor troubleshooting at Maintenance yard, Emergency access route was partly obstructed by temporary materials. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.",0.011023126,0,Low
NM_0395,Refinery unit,Wellhead valve maintenance,"A Work scope had changed but the permit and job safety analysis were not revalidated was identified during Wellhead valve maintenance at Refinery unit. The activity was delayed pending correction. No one was exposed, but the observation required a documented corrective action.",0.011561828,0,Low
NM_0518,Truck loading bay,Sampling and testing,"Near-miss observation: while performing Sampling and testing at Truck loading bay, the team found that Lift plan, tag lines, and barricaded drop zone were not available. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.",0.960103,1,Critical
NM_0581,LPG bottling plant,Instrument calibration,"Near-miss observation: while performing Instrument calibration at LPG bottling plant, the team found that Tool inspection missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",0.038684364,0,Low
NM_0566,Gas processing unit,Pump seal replacement,"Shift crew reported that during Pump seal replacement in Gas processing unit, Simultaneous operations were not recorded in the permit briefing. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.",0.9457314,1,Critical
NM_0102,Pump station,Excavation work,"Shift crew reported that during Excavation work in Pump station, Lift plan missing. No work stoppage was required. No work stoppage was required as the risk was minimal.",0.01711562,0,Low
NM_0631,Field office area,Scaffolding work,"During routine checks at Field office area, Emergency access route was partly obstructed by temporary materials was observed during Scaffolding work. Work was stopped urgently and emergency response was initiated. The situation had imminent potential for fatality and was escalated immediately.",0.95603603,1,Critical
NM_0408,Truck loading bay,Scaffold modification,"Before/during Scaffold modification at Truck loading bay, Lockout-tagout missing. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",0.95218056,1,Critical
NM_0492,Pipeline ROW,Housekeeping inspection,Inspection revealed Guard missing during Housekeeping inspection at Pipeline ROW. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.,0.27919808,0,Low
NM_0070,LPG bottling plant,Hot work (welding/grinding),"Shift crew reported that during Hot work (welding/grinding) in LPG bottling plant, Lift plan, tag lines, and barricaded drop zone were not available. Corrective action was taken on the spot. The observation was logged and addressed during the same shift.",0.012410354,0,Low
NM_0203,Field office area,Emergency valve servicing,"During routine checks at Field office area, Exclusion zone missing was observed during Emergency valve servicing. The supervisor reviewed and approved continuation after correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.",0.004176306,0,Low
NM_0471,Wellsite,Pump seal replacement,"During Pump seal replacement at Wellsite, Atmosphere not tested. The situation had credible potential for serious injury. A supervisor issued a stop-work intervention and required a formal control verification.",0.938506,1,Critical
NM_0172,Storage depot,Pipe spool welding,A Trip interlock was found bypassed during a production upset was identified during Pipe spool welding at Storage depot. Work was paused briefly and the issue was resolved. The issue was minor and was rectified before it affected the task.,0.0069706677,0,Low
NM_0249,LPG bottling plant,Scaffolding work,"Shift crew reported that during Scaffolding work in LPG bottling plant, Simultaneous operations were not recorded in the permit briefing. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.",0.003258391,0,Low
NM_0578,Storage tank,Internal tank inspection,Inspection revealed Spill containment missing during Internal tank inspection at Storage tank. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,0.0288756,0,Low
NM_0485,Offshore platform,Drilling operations,"Before/during Drilling operations at Offshore platform, Emergency response delayed. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",0.8936931,1,Critical
NM_0520,Drilling rig,Sampling and testing,Inspection revealed Drain cover was open and combustible vapour testing was not documented during Sampling and testing at Drilling rig. Work was stopped due to potential serious injury risk. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,0.98025227,1,Critical
NM_0563,Drilling rig,Hot work (welding/grinding),A Line was not depressurised and workers were positioned in the potential release path was identified during Hot work (welding/grinding) at Drilling rig. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.,0.93985057,1,Critical
NM_0100,Offshore platform,Night driving to remote site,"During Night driving to remote site at Offshore platform, Drain cover was open and combustible vapour testing was not documented. Corrective action was taken on the spot. The team recorded the observation and completed immediate housekeeping correction.",0.04987726,0,Low
NM_0430,Gas processing unit,Scaffold modification,"During routine checks at Gas processing unit, Gas testing was overdue and no dedicated fire watch was assigned was observed during Scaffold modification. The activity was stopped as it could have resulted in serious harm. Work was halted due to high-risk exposure and corrective measures were implemented.",0.9647292,1,Critical
NM_0399,Compressor station,Chemical sampling,"During Chemical sampling at Compressor station, Open edge protection and full-body harness anchorage were unavailable. The job proceeded only after corrective measures. Work was temporarily halted pending verification of the control measure.",0.019344032,0,Low
NM_0558,Wellsite,Drilling operations,"During Drilling operations at Wellsite, Fall arrest missing. The job was halted due to high-risk exposure. Work was halted due to high-risk exposure and corrective measures were implemented.",0.97343034,1,Critical
NM_0488,Refinery unit,Internal tank inspection,"A Simultaneous operations were not recorded in the permit briefing was identified during Internal tank inspection at Refinery unit. The situation had credible potential for serious injury. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",0.9658689,1,Critical
NM_0317,Drilling rig,Chemical sampling,"Near-miss observation: while performing Chemical sampling at Drilling rig, the team found that Drain cover was open and combustible vapour testing was not documented. The supervisor reviewed and approved continuation after correction. The supervisor reviewed the situation and approved continuation after correction.",0.010179071,0,Low
NM_0199,Refinery unit,Reversing vehicle operations,"Before/during Reversing vehicle operations at Refinery unit, No pre-entry gas test, attendant, rescue arrangement, or signed entry permit. The area was corrected immediately. The team recorded the observation and completed immediate housekeeping correction.",0.0057514273,0,Low
NM_0789,Drilling rig,Hot work (welding/grinding),"Shift crew reported that during Hot work (welding/grinding) in Drilling rig, Open edge protection and full-body harness anchorage were unavailable. Actual exposure to hazardous conditions occurred. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",0.9711818,1,Critical
NM_0504,Storage depot,Crude transfer vehicle movement,"Inspection revealed Guard missing during Crude transfer vehicle movement at Storage depot. Work was stopped due to potential serious injury risk. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",0.041537765,0,Low
NM_0621,Process plant,Vehicle movement,"During routine checks at Process plant, Damaged pallet and unstable load were being raised without a spotter was observed during Vehicle movement. Multiple workers were at risk of serious injury or fatality. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",0.048222203,0,Low
NM_0474,Pipeline ROW,Excavation work,A Driver fatigue screening and journey-management check were incomplete was identified during Excavation work at Pipeline ROW. Critical control failure was corrected before resuming work. The situation had credible potential for serious injury and was escalated immediately.,0.024223683,0,Low
NM_0500,Storage depot,Pressure vessel testing,"A No pre-entry gas test, attendant, rescue arrangement, or signed entry permit was identified during Pressure vessel testing at Storage depot. The situation had credible potential for serious injury. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.",0.055211857,0,Low
NM_0010,Compressor station,Hydrostatic pressure test,A Scaffold was altered without inspection tag and toe boards were missing was identified during Hydrostatic pressure test at Compressor station. Corrective action was taken on the spot. No work stoppage was required as the risk was minimal.,0.008968799,0,Low
NM_0042,Field office area,Confined space entry,Inspection revealed Spill containment missing during Confined space entry at Field office area. No work stoppage was required. The team recorded the observation and completed immediate housekeeping correction.,0.0142368,0,Low
NM_0591,Gas processing unit,Valve maintenance,A Driver fatigue screening and journey-management check were incomplete was identified during Valve maintenance at Gas processing unit. The activity was stopped as it could have resulted in serious harm. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,0.94968367,1,Critical
NM_0776,Truck loading bay,Pipe spool welding,"A Permit missing was identified during Pipe spool welding at Truck loading bay. The situation had imminent potential for fatality and was escalated immediately. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",0.96899205,1,Critical
NM_0230,Wellsite,Emergency valve servicing,"Near-miss observation: while performing Emergency valve servicing at Wellsite, the team found that Electrical supply and process pressure isolation were not independently verified. The supervisor reviewed and approved continuation after correction. The supervisor reviewed the situation and approved continuation after correction.",0.012298192,0,Low
NM_0039,Field office area,LPG bottling operations,"During routine checks at Field office area, Electrical supply and process pressure isolation were not independently verified was observed during LPG bottling operations. The team corrected it without delay. The observation was logged and addressed during the same shift.",0.0026849092,0,Low
NM_0539,LPG bottling plant,Valve maintenance,"During Valve maintenance at LPG bottling plant, Exclusion zone missing. The job was halted due to high-risk exposure. A supervisor issued a stop-work intervention and required a formal control verification.",0.026694648,0,Low
NM_0086,Offshore platform,Compressor troubleshooting,"Near-miss observation: while performing Compressor troubleshooting at Offshore platform, the team found that Communication failure. No work stoppage was required. The team recorded the observation and completed immediate housekeeping correction.",0.0073496215,0,Low
NM_0011,Process plant,Scaffold modification,"During routine checks at Process plant, Permit missing was observed during Scaffold modification. No work stoppage was required. The issue was minor and was rectified before it affected the task.",0.0017716637,0,Low
NM_0532,LPG bottling plant,Lifting and rigging,"Near-miss observation: while performing Lifting and rigging at LPG bottling plant, the team found that Exclusion zone missing. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.",0.40919006,0,Medium
NM_0327,Pipeline ROW,Confined space entry,"Before/during Confined space entry at Pipeline ROW, Reversing was attempted without a banksman and pedestrian segregation. Work was stopped temporarily and resumed after verification. Work was temporarily halted pending verification of the control measure.",0.010772614,0,Low
NM_0268,Wellsite,Hydrostatic pressure test,"During Hydrostatic pressure test at Wellsite, Tool inspection missing. The supervisor reviewed and approved continuation after correction. Work was temporarily halted pending verification of the control measure.",0.0009570427,0,Low
NM_0202,Compressor station,Pipe spool welding,"During Pipe spool welding at Compressor station, Gas testing was overdue and no dedicated fire watch was assigned. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.",0.022239733,0,Low
NM_0576,LPG bottling plant,Pump maintenance,"During Pump maintenance at LPG bottling plant, Communication failure. The activity was stopped as it could have resulted in serious harm. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",0.96601504,1,Critical
NM_0467,Compressor station,Drilling operations,Inspection revealed Procedure not followed during Drilling operations at Compressor station. The situation had credible potential for serious injury. The situation had credible potential for serious injury and was escalated immediately.,0.95422685,1,Critical
NM_0564,Storage depot,Internal tank inspection,Inspection revealed Damaged pallet and unstable load were being raised without a spotter during Internal tank inspection at Storage depot. The job was halted due to high-risk exposure. A supervisor issued a stop-work intervention and required a formal control verification.,0.023106059,0,Low
NM_0081,Refinery unit,Hydrostatic pressure test,"Near-miss observation: while performing Hydrostatic pressure test at Refinery unit, the team found that Emergency response delayed. Corrective action was taken on the spot. The issue was minor and was rectified before it affected the task.",0.0031454589,0,Low
NM_0677,Truck loading bay,Pressure vessel testing,"During Pressure vessel testing at Truck loading bay, No pre-entry gas test, attendant, rescue arrangement, or signed entry permit. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.",0.94851,1,Critical
NM_0546,Truck loading bay,Well intervention,Inspection revealed Isolation not verified during Well intervention at Truck loading bay. The job was halted due to high-risk exposure. Work was halted due to high-risk exposure and corrective measures were implemented.,0.32453108,0,Medium
NM_0090,Drilling rig,Pipe spool welding,Inspection revealed Electrical supply and process pressure isolation were not independently verified during Pipe spool welding at Drilling rig. The area was corrected immediately. No work stoppage was required as the risk was minimal.,0.014976905,0,Low
NM_0033,Storage depot,Compressor troubleshooting,"Near-miss observation: while performing Compressor troubleshooting at Storage depot, the team found that Supervision absent. The team corrected it without delay. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",0.03491147,0,Low
NM_0094,Gas processing unit,Manual handling of tubulars,"During Manual handling of tubulars at Gas processing unit, Lift plan missing. No work stoppage was required. The team recorded the observation and completed immediate housekeeping correction.",0.018432258,0,Low
NM_0503,Compressor station,Drilling operations,"Near-miss observation: while performing Drilling operations at Compressor station, the team found that No pre-entry gas test, attendant, rescue arrangement, or signed entry permit. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.",0.5815225,1,Medium
NM_0687,Offshore platform,Compressor troubleshooting,"Before/during Compressor troubleshooting at Offshore platform, No pre-entry gas test, attendant, rescue arrangement, or signed entry permit. The situation had imminent potential for fatality and was escalated immediately. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",0.986027,1,Critical
NM_0535,Truck loading bay,Wellhead valve maintenance,"Before/during Wellhead valve maintenance at Truck loading bay, Electrical supply and process pressure isolation were not independently verified. The situation had credible potential for serious injury. Work was halted due to high-risk exposure and corrective measures were implemented.",0.076111585,0,Low
NM_0729,Field office area,Hydrostatic pressure test,"During Hydrostatic pressure test at Field office area, Gas testing was overdue and no dedicated fire watch was assigned. Work was stopped urgently and emergency response was initiated. Personnel were moved to a safe location and the event was treated as a high-potential near miss.",0.036149006,0,Low
NM_0305,Offshore platform,Crude transfer vehicle movement,"During routine checks at Offshore platform, Fall arrest missing was observed during Crude transfer vehicle movement. The job proceeded only after corrective measures. The supervisor reviewed the situation and approved continuation after correction.",0.017741252,0,Low
NM_0098,Storage depot,Valve maintenance,Inspection revealed Exclusion zone missing during Valve maintenance at Storage depot. Work was paused briefly and the issue was resolved. The observation was logged and addressed during the same shift.,0.005282469,0,Low
NM_0176,Maintenance yard,Loading/unloading operations,"During routine checks at Maintenance yard, Work scope had changed but the permit and job safety analysis were not revalidated was observed during Loading/unloading operations. Work was paused briefly and the issue was resolved. The observation was logged and addressed during the same shift.",0.0035059766,0,Low
NM_0775,Compressor station,LPG bottling operations,"During routine checks at Compressor station, Communication failure was observed during LPG bottling operations. Multiple workers were at risk of serious injury or fatality. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",0.09555478,0,Low
NM_0309,Storage depot,Wellhead valve maintenance,"Shift crew reported that during Wellhead valve maintenance in Storage depot, Lockout-tagout missing. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.",0.0073348093,0,Low
NM_0376,Storage depot,Chemical sampling,"Shift crew reported that during Chemical sampling in Storage depot, Gas testing was overdue and no dedicated fire watch was assigned. The activity was delayed pending correction. Work was temporarily halted pending verification of the control measure.",0.06220229,0,Low
NM_0794,Compressor station,Pipeline inspection,"During routine checks at Compressor station, Emergency access route was partly obstructed by temporary materials was observed during Pipeline inspection. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",0.9526489,1,Critical
NM_0652,Pipeline ROW,Loading/unloading operations,"Inspection revealed PPE not used during Loading/unloading operations at Pipeline ROW. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",0.8468637,1,Critical
NM_0428,Compressor station,Tank farm operations,"Before/during Tank farm operations at Compressor station, Electrical supply and process pressure isolation were not independently verified. The job was halted due to high-risk exposure. The situation had credible potential for serious injury and was escalated immediately.",0.041781776,0,Low
NM_0340,Storage depot,Scaffolding work,"Shift crew reported that during Scaffolding work in Storage depot, Exclusion zone missing. The supervisor reviewed and approved continuation after correction. Work was temporarily halted pending verification of the control measure.",0.0057729916,0,Low
NM_0155,Process plant,Pipe spool welding,"During routine checks at Process plant, PPE not used was observed during Pipe spool welding. No work stoppage was required. The observation was logged and addressed during the same shift.",0.090262555,0,Low
NM_0614,Process plant,Loading/unloading operations,"Shift crew reported that during Loading/unloading operations in Process plant, Scaffold was altered without inspection tag and toe boards were missing. All personnel were evacuated. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",0.037616782,0,Low
NM_0152,Storage depot,Equipment maintenance,"Before/during Equipment maintenance at Storage depot, Lift plan, tag lines, and barricaded drop zone were not available. No work stoppage was required. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",0.0144835,0,Low
NM_0456,Process plant,Confined space entry,"Shift crew reported that during Confined space entry in Process plant, Pneumatic energy isolation was not locked and residual pressure remained in the line. The activity was stopped as it could have resulted in serious harm. The situation had credible potential for serious injury and was escalated immediately.",0.023546005,0,Low
NM_0573,Wellsite,Crude transfer vehicle movement,"Before/during Crude transfer vehicle movement at Wellsite, Lift plan missing. Work was stopped due to potential serious injury risk. Work was halted due to high-risk exposure and corrective measures were implemented.",0.9414822,1,Critical
NM_0387,LPG bottling plant,Confined space entry,"Before/during Confined space entry at LPG bottling plant, Scaffold was altered without inspection tag and toe boards were missing. The job proceeded only after corrective measures. No one was exposed, but the observation required a documented corrective action.",0.024177684,0,Low
NM_0393,Storage tank,Hydrostatic pressure test,"Inspection revealed Guard missing during Hydrostatic pressure test at Storage tank. The job proceeded only after corrective measures. No one was exposed, but the observation required a documented corrective action.",0.0043633473,0,Low
NM_0568,Process plant,Wellhead valve maintenance,"Before/during Wellhead valve maintenance at Process plant, Isolation not verified. The job was halted due to high-risk exposure. Work was halted due to high-risk exposure and corrective measures were implemented.",0.9212879,1,Critical
NM_0553,Drilling rig,Tank farm operations,A Atmosphere not tested was identified during Tank farm operations at Drilling rig. The situation had credible potential for serious injury. A supervisor issued a stop-work intervention and required a formal control verification.,0.032601036,0,Low
NM_0054,Pipeline ROW,Process unit startup/shutdown,"Near-miss observation: while performing Process unit startup/shutdown at Pipeline ROW, the team found that Guard missing. The area was corrected immediately. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",0.02176853,0,Low
NM_0217,Process plant,Pipe-rack inspection,Inspection revealed Gas test missing during Pipe-rack inspection at Process plant. The activity was delayed pending correction. The supervisor reviewed the situation and approved continuation after correction.,0.0011247725,0,Low
NM_0316,Compressor station,Grinding near drain,Inspection revealed Gas testing was overdue and no dedicated fire watch was assigned during Grinding near drain at Compressor station. Work was paused until the issue was addressed. Work was temporarily halted pending verification of the control measure.,0.007225758,0,Low
NM_0295,Drilling rig,Excavation work,"Shift crew reported that during Excavation work in Drilling rig, Permit missing. The job proceeded only after corrective measures. No one was exposed, but the observation required a documented corrective action.",0.022453928,0,Low
NM_0125,Gas processing unit,Night driving to remote site,"Before/during Night driving to remote site at Gas processing unit, Excavation edge was not barricaded and underground utility mark-out was incomplete. Corrective action was taken on the spot. The team recorded the observation and completed immediate housekeeping correction.",0.0024889922,0,Low
NM_0209,Process plant,Drilling operations,"During Drilling operations at Process plant, Fall arrest missing. The supervisor reviewed and approved continuation after correction. Work was temporarily halted pending verification of the control measure.",0.012255813,0,Low
NM_0105,Storage tank,Internal tank inspection,"Near-miss observation: while performing Internal tank inspection at Storage tank, the team found that No pre-entry gas test, attendant, rescue arrangement, or signed entry permit. Corrective action was taken on the spot. The team recorded the observation and completed immediate housekeeping correction.",0.043817956,0,Low
NM_0534,Truck loading bay,Housekeeping inspection,"Shift crew reported that during Housekeeping inspection in Truck loading bay, Exclusion zone missing. The situation had credible potential for serious injury. A supervisor issued a stop-work intervention and required a formal control verification.",0.096303,0,Low
NM_0263,Pump station,Pump seal replacement,"During Pump seal replacement at Pump station, Training inadequate. The supervisor reviewed and approved continuation after correction. No one was exposed, but the observation required a documented corrective action.",0.007491337,0,Low
NM_0312,Compressor station,Reversing vehicle operations,"Before/during Reversing vehicle operations at Compressor station, Spill containment missing. The activity was delayed pending correction. The crew escalated the issue through the shift safety meeting and closed it before continuation.",0.010651682,0,Low
NM_0676,Tank farm,Instrument calibration,"During routine checks at Tank farm, No pre-entry gas test, attendant, rescue arrangement, or signed entry permit was observed during Instrument calibration. The situation had imminent potential for fatality and was escalated immediately. Personnel were moved to a safe location and the event was treated as a high-potential near miss.",0.9698047,1,Critical
NM_0227,Compressor station,Electrical maintenance,"During routine checks at Compressor station, Lockout-tagout missing was observed during Electrical maintenance. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.",0.08870387,0,Low
NM_0158,Refinery unit,Wellhead valve maintenance,"Inspection revealed Damaged pallet and unstable load were being raised without a spotter during Wellhead valve maintenance at Refinery unit. Corrective action was taken on the spot. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",0.025957236,0,Low
NM_0455,Gas processing unit,Wellhead valve maintenance,"During routine checks at Gas processing unit, Lift plan missing was observed during Wellhead valve maintenance. Work was stopped due to potential serious injury risk. Work was halted due to high-risk exposure and corrective measures were implemented.",0.92526203,1,Critical
NM_0356,Drilling rig,Forklift pallet handling,"A Lift plan, tag lines, and barricaded drop zone were not available was identified during Forklift pallet handling at Drilling rig. The activity was delayed pending correction. The crew escalated the issue through the shift safety meeting and closed it before continuation.",0.0020144207,0,Low
NM_0505,Truck loading bay,Pipe-rack inspection,"Shift crew reported that during Pipe-rack inspection in Truck loading bay, Atmosphere not tested. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",0.931121,1,Critical
NM_0491,Compressor station,Pipe spool welding,"During Pipe spool welding at Compressor station, PPE not used. Critical control failure was corrected before resuming work. Work was halted due to high-risk exposure and corrective measures were implemented.",0.9764435,1,Critical
NM_0479,Storage tank,Chemical sampling,Inspection revealed Sample bottle label was unclear and secondary containment was not positioned during Chemical sampling at Storage tank. Work was stopped due to potential serious injury risk. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,0.9867193,1,Critical
NM_0607,Process plant,Chemical sampling,"Before/during Chemical sampling at Process plant, Driver fatigue screening and journey-management check were incomplete. Multiple workers were at risk of serious injury or fatality. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",0.04478037,0,Low
NM_0451,Compressor station,Vehicle movement,"A Lift plan, tag lines, and barricaded drop zone were not available was identified during Vehicle movement at Compressor station. The situation had credible potential for serious injury. The situation had credible potential for serious injury and was escalated immediately.",0.5323465,1,Medium
NM_0288,Refinery unit,Scaffolding work,"During Scaffolding work at Refinery unit, Open edge protection and full-body harness anchorage were unavailable. The activity was delayed pending correction. The crew escalated the issue through the shift safety meeting and closed it before continuation.",0.02393832,0,Low
NM_0707,Storage tank,Electrical maintenance,"Near-miss observation: while performing Electrical maintenance at Storage tank, the team found that Driver fatigue screening and journey-management check were incomplete. All personnel were evacuated. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",0.9707946,1,Critical
NM_0780,Drilling rig,Valve maintenance,"Shift crew reported that during Valve maintenance in Drilling rig, Pneumatic energy isolation was not locked and residual pressure remained in the line. Actual exposure to hazardous conditions occurred. The situation had imminent potential for fatality and was escalated immediately.",0.94156903,1,Critical
NM_0251,Wellsite,Pipe-rack inspection,"A Training inadequate was identified during Pipe-rack inspection at Wellsite. Work was stopped temporarily and resumed after verification. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.",0.0036620765,0,Low
NM_0382,Wellsite,Electrical maintenance,"Before/during Electrical maintenance at Wellsite, Fall arrest missing. The supervisor reviewed and approved continuation after correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.",0.0055783405,0,Low
NM_0156,Storage depot,Night driving to remote site,"Before/during Night driving to remote site at Storage depot, Communication failure. Corrective action was taken on the spot. The issue was minor and was rectified before it affected the task.",0.017941693,0,Low
NM_0350,Process plant,Pressure vessel testing,Inspection revealed Procedure not followed during Pressure vessel testing at Process plant. Work was paused until the issue was addressed. The supervisor reviewed the situation and approved continuation after correction.,0.0026360543,0,Low
NM_0321,Process plant,Reversing vehicle operations,"During Reversing vehicle operations at Process plant, Drain cover was open and combustible vapour testing was not documented. Work was stopped temporarily and resumed after verification. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.",0.008571547,0,Low
NM_0050,Wellsite,Crude transfer vehicle movement,Inspection revealed Guard missing during Crude transfer vehicle movement at Wellsite. Corrective action was taken on the spot. The observation was logged and addressed during the same shift.,0.0010178743,0,Low
NM_0545,Wellsite,Pump seal replacement,"Shift crew reported that during Pump seal replacement in Wellsite, Electrical supply and process pressure isolation were not independently verified. The situation had credible potential for serious injury. The situation had credible potential for serious injury and was escalated immediately.",0.9469504,1,Critical
NM_0189,Field office area,Well intervention,"During Well intervention at Field office area, Pneumatic energy isolation was not locked and residual pressure remained in the line. Corrective action was taken on the spot. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",0.059280284,0,Low
NM_0734,Wellsite,Instrument calibration,"Near-miss observation: while performing Instrument calibration at Wellsite, the team found that Supervision absent. Multiple workers were at risk of serious injury or fatality. Personnel were moved to a safe location and the event was treated as a high-potential near miss.",0.9217193,1,Critical
